"","Group","Crop","sci_name"
"96","Legumes","Clover","Trifolium varigatum"
"97","Legumes","Clover","Trifolium wormskjoldii"
"98","Legumes","Lathyrus","Lathyrus bijugatus"
"99","Legumes","Lathyrus","Lathyrus ochrolucus"
"100","Legumes","Milk vetch","Astragalus adsurgens"
"101","Legumes","Milk vetch","Astragalus gracilis"
"102","Legumes","Trefoil","Lotus denticulatus"
"103","Legumes","Trefoil","Lotus formosissimus"
"104","Legumes","Trefoil","Lotus micranthus"
"105","Legumes","Trefoil","Lotus pinnatus"
"106","Legumes","Trefoil","Lotus purshianus"
"107","Legumes","Vetch","Vicia carolinia"
"108","Other Crops","Paysonia","Lesquerella alpina"
"109","Other Crops","Paysonia","Lesquerella arctica"
"110","Other Crops","Paysonia","Lesquerella douglasii"
"111","Other Crops","Paysonia","Lesquerella ludoviciana"
"112","Treenuts","European Filbert","Corylus californica"
"113","Treenuts","Pecan/Hickory","Carya tomentosa"
"114","Trees","Alder","Alnus rugosa"
"115","Trees","Alder","Alnus sinuata"
"116","Trees","Birch","Betula lutea"
"117","Trees","Hemlock","Tsuga mertesiana"
"118","Trees","Maple","Acer circinnatum"
"119","Trees","Nootka Cypress","Chamaecyparis nootkatensis"
"120","Trees","Oak","Quercus marcrocarpa"
"121","Trees","Oak","Quercus prinus"
"122","Trees","Spruce","Picea engelmanii"
"123","Vegetables","Horseradish","Armoracia aquatica"
