"","species","ECO_NAME","X","garden","variant","latitude","longitude","country","IUCNRedList","ECO_CODE","province","geometry","Group","crop"
"37","Acer glabrum","S.E. Alaska - B.C. Coastal Forest And Mountains",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"38","Acer glabrum","Pacific Northwest Coast",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"39","Acer glabrum","North Cascades",43,"UBC","douglasii",50.267092,-122.879315,"Canada","","NA0514","British Columbia",c(-122.879315, 50.267092),"Trees","Maple"
"40","Acer glabrum","North Cascades",46,"UBC","douglasii",50.267092,-122.879315,"Canada","","NA0514","British Columbia",c(-122.879315, 50.267092),"Trees","Maple"
"41","Acer glabrum","North Cascades",48,"UBC","douglasii",49.34259,-121.4678,"Canada","","NA0514","British Columbia",c(-121.4678, 49.34259),"Trees","Maple"
"42","Acer glabrum","North Cascades",50,"UBC","douglasii",50.267092,-122.879315,"Canada","","NA0514","British Columbia",c(-122.879315, 50.267092),"Trees","Maple"
"43","Acer glabrum","North Cascades",51,"UBC","douglasii",50.267092,-122.879315,"Canada","","NA0514","British Columbia",c(-122.879315, 50.267092),"Trees","Maple"
"44","Acer glabrum","North Cascades",56,"UBC","douglasii",50.267092,-122.879315,"Canada","","NA0514","British Columbia",c(-122.879315, 50.267092),"Trees","Maple"
"45","Acer glabrum","Montane Cordillera",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"46","Acer glabrum","Boreal Shield",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"47","Acer macrophyllum","Pacific Northwest Coast",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"48","Acer macrophyllum","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"49","Acer macrophyllum","North Cascades",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"50","Acer macrophyllum","Boreal Shield",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"51","Acer negundo","Aspen Parkland",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"52","Acer negundo","St. Lawrence - Champlain Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"53","Acer negundo","Boreal Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"54","Acer negundo","Superior Mixed Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"55","Acer negundo","Boreal Shield",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"56","Acer negundo","Fescue-Mixed Grass Prairie",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"57","Acer negundo","Okanagan",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"58","Acer negundo","Taiga Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"59","Acer negundo","Great Lakes",89,"University of Guelph Arboretum"," negundo",43.284197,-80.462618,"Canada",NA,"NA0404","Ontario",c(-80.462618, 43.284197),"Trees","Maple"
"60","Acer negundo","Northern Appalachian / Acadian",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"61","Acer negundo","Northern Tallgrass Prairie",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"62","Acer negundo","Boreal Cordillera",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"63","Acer negundo","Northern Great Plains Steppe",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"64","Acer nigrum","St. Lawrence - Champlain Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"65","Acer nigrum","Great Lakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"66","Acer nigrum","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"67","Acer nigrum","Boreal Shield",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
