"","species","province","X","garden","variant","latitude","longitude","country","IUCNRedList","ECO_CODE","ECO_NAME","geometry","Group","crop"
"37","Acer negundo","Ontario",12,"Royal Botanical Garden","",NA,NA,"Canada",NA,NA,NA,c(NA, NA),"Trees","Maple"
"38","Acer negundo","Ontario",89,"University of Guelph Arboretum"," negundo",43.284197,-80.462618,"Canada",NA,"NA0404","Great Lakes",c(-80.462618, 43.284197),"Trees","Maple"
"39","Acer negundo","British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"40","Acer negundo","Northwest Territories",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"41","Acer negundo","Prince Edward Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"42","Acer negundo","Yukon",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"43","Acer negundo","Saskatchewan",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"44","Acer negundo","Nova Scotia",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"45","Acer negundo","New Brunswick",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"46","Acer nigrum","Quebec",28,"Montreal Botanical Garden","",NA,NA,"Canada",NA,NA,NA,c(NA, NA),"Trees","Maple"
"47","Acer nigrum","Quebec",29,"Montreal Botanical Garden","",NA,NA,"Canada",NA,NA,NA,c(NA, NA),"Trees","Maple"
"48","Acer nigrum","Ontario",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"49","Acer nigrum","British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"50","Acer pensylvanicum","British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"51","Acer pensylvanicum","Quebec",31,"Montreal Botanical Garden","",NA,NA,"Canada",NA,NA,NA,c(NA, NA),"Trees","Maple"
"52","Acer pensylvanicum","Quebec",32,"Montreal Botanical Garden","",NA,NA,"Canada",NA,NA,NA,c(NA, NA),"Trees","Maple"
"53","Acer pensylvanicum","Quebec",40,"Montreal Botanical Garden","",NA,NA,"Canada",NA,NA,NA,c(NA, NA),"Trees","Maple"
"54","Acer pensylvanicum","Quebec",48,"Montreal Botanical Garden","",NA,NA,"Canada",NA,NA,NA,c(NA, NA),"Trees","Maple"
"55","Acer pensylvanicum","Quebec",49,"Montreal Botanical Garden","",NA,NA,"Canada",NA,NA,NA,c(NA, NA),"Trees","Maple"
"56","Acer pensylvanicum","Prince Edward Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"57","Acer pensylvanicum","Ontario",66,"UBC","",46.904395,-80.081475,"Canada","Least concern","NA0604","Boreal Shield",c(-80.081475, 46.904395),"Trees","Maple"
"58","Acer pensylvanicum","Northwest Territories",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"59","Acer pensylvanicum","Nova Scotia",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"60","Acer pensylvanicum","New Brunswick",62,"UBC","",45.716667,-67.566667,"Canada","Least concern","NA0411","Northern Appalachian / Acadian",c(-67.566667, 45.716667),"Trees","Maple"
"61","Acer pensylvanicum","New Brunswick",63,"UBC","",45.716667,-67.566667,"Canada","Least concern","NA0411","Northern Appalachian / Acadian",c(-67.566667, 45.716667),"Trees","Maple"
"62","Acer pensylvanicum","New Brunswick",64,"UBC","",45.716667,-67.566667,"Canada","Least concern","NA0411","Northern Appalachian / Acadian",c(-67.566667, 45.716667),"Trees","Maple"
"63","Acer pensylvanicum","New Brunswick",68,"UBC","",45.716667,-67.566667,"Canada","Least concern","NA0411","Northern Appalachian / Acadian",c(-67.566667, 45.716667),"Trees","Maple"
"64","Acer pensylvanicum","New Brunswick",73,"UBC","",45.716667,-67.566667,"Canada","Least concern","NA0411","Northern Appalachian / Acadian",c(-67.566667, 45.716667),"Trees","Maple"
"65","Acer rubrum","British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"66","Acer rubrum","Quebec",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"67","Acer rubrum","Ontario",76,"UBC","",46.932305,-80.098145,"Canada","Least concern","NA0604","Boreal Shield",c(-80.098145, 46.932305),"Trees","Maple"
"68","Acer rubrum","Ontario",77,"UBC","",46.932305,-80.098145,"Canada","Least concern","NA0604","Boreal Shield",c(-80.098145, 46.932305),"Trees","Maple"
"69","Acer rubrum","Ontario",78,"UBC","",46.932305,-80.098145,"Canada","Least concern","NA0604","Boreal Shield",c(-80.098145, 46.932305),"Trees","Maple"
"70","Acer rubrum","Ontario",114,"University of Guelph Arboretum","",46.481556,-84.010833,"Canada",NA,"NA0404","Great Lakes",c(-84.010833, 46.481556),"Trees","Maple"
"71","Acer rubrum","Ontario",134,"University of Guelph Arboretum","",42.7417885,-80.42821493,"Canada",NA,"NA0404","Great Lakes",c(-80.42821493, 42.7417885),"Trees","Maple"
"72","Acer rubrum","Ontario",135,"University of Guelph Arboretum","",44.06175847,-81.37332572,"Canada",NA,"NA0404","Great Lakes",c(-81.37332572, 44.06175847),"Trees","Maple"
"73","Acer rubrum","Ontario",137,"University of Guelph Arboretum","",46.481556,-84.010833,"Canada",NA,"NA0404","Great Lakes",c(-84.010833, 46.481556),"Trees","Maple"
"74","Acer rubrum","Ontario",143,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"75","Acer rubrum","Ontario",144,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"76","Acer rubrum","Ontario",145,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"77","Acer rubrum","Ontario",166,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"78","Acer rubrum","Ontario",167,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"79","Acer rubrum","Ontario",188,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"80","Acer rubrum","Ontario",189,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"81","Acer rubrum","Ontario",204,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"82","Acer rubrum","Ontario",205,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"83","Acer rubrum","Ontario",206,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"84","Acer rubrum","Ontario",207,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"85","Acer rubrum","Ontario",208,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"86","Acer rubrum","Ontario",210,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"87","Acer rubrum","Ontario",211,"University of Guelph Arboretum","",42.5641,-81.624983,"Canada",NA,"NA0404","Great Lakes",c(-81.624983, 42.5641),"Trees","Maple"
