Crop,Wild_Relative_Genus,Wild_Relative_species
Fescue,Festuca,subuliflora
Fescue,Festuca,viridula
Milk-vetch,Astragalus,adsurgens
Milk-vetch,Astragalus,agrestis
Milk-vetch,Astragalus,alpinus
Milk-vetch,Astragalus,americanus
Milk-vetch,Astragalus,beckwithii
Milk-vetch,Astragalus,bisulcatus
Milk-vetch,Astragalus,bodinii
Milk-vetch,Astragalus,bourgovii
Milk-vetch,Astragalus,canadensis
Milk-vetch,Astragalus,collinus
Milk-vetch,Astragalus,crassicarpus
Milk-vetch,Astragalus,drummondii
Milk-vetch,Astragalus,eucosmus
Milk-vetch,Astragalus,filipes
Milk-vetch,Astragalus,flexuosus
Milk-vetch,Astragalus,gilviflorus
Milk-vetch,Astragalus,gracilis
Milk-vetch,Astragalus,gilviflorus
Milk-vetch,Astragalus,gracilis
Milk-vetch,Astragalus,kentrophyta
Milk-vetch,Astragalus,lentiginosus
Milk-vetch,Astragalus,gracilis
Milk-vetch,Astragalus,kentrophyta
Milk-vetch,Astragalus,lentiginosus
Milk-vetch,Astragalus,lotiflorus
Milk-vetch,Astragalus,microcystis
Milk-vetch,Astragalus,miser
Milk-vetch,Astragalus,missouriensis
Milk-vetch,Astragalus,neglectus
Milk-vetch,Astragalus,pectinatus
Milk-vetch,Astragalus,purshii
Milk-vetch,Astragalus,racemosus
Milk-vetch,Astragalus,robbinsii
Milk-vetch,Astragalus,sclerocarpus
Milk-vetch,Astragalus,spatulatus
Milk-vetch,Astragalus,tenellus
Milk-vetch,Astragalus,umbellatus
Milk-vetch,Astragalus,vexilliflexus
Milk-vetch,Astragalus,williamsii
Sainfoin,Hedysarum,alpinum
Sainfoin,Hedysarum,boreale
Sainfoin,Hedysarum,occidentale
Sainfoin,Hedysarum,sulphurescens
Timothy,Phleum,alpinum
Trefoil,Lotus,denticulatus
Trefoil,Lotus,formosissimus
Trefoil,Lotus,micranthus
Trefoil,Lotus,pinnatus
Trefoil,Lotus,purshianus
Vetch,Vicia,americana
Vetch,Vicia,carolinia
Vetch,Vicia,gigantea
Wheatgrass,Agropyron,albicans
Wheatgrass,Agropyron,dasystachyum
Wheatgrass,Agropyron,scribneri
Wheatgrass,Agropyron,smithii
Wheatgrass,Agropyron,spicatum
Wheatgrass,Agropyron,trachycaulum
Wild Rye,Elymus,canadensis
Wild Rye,Elymus,diversiglumis
Wild Rye,Elymus,glaucus
Wild Rye,Elymus,hirsutus
Wild Rye,Elymus,hystrix
Wild Rye,Elymus,innovatus
Wild Rye,Elymus,mollis
Wild Rye,Elymus,piperi
Wild Rye,Elymus,riparius
Wild Rye,Elymus,sibiricus
Wild Rye,Elymus,villosus
Wild Rye,Elymus,virginicus
Amaranth,Amaranthus,albus
Amaranth,Amaranthus,californicus
Amaranth,Amaranthus,graecizans
Amaranth,Amaranthus,tuberculatus
Evening primrose,Oenothera,andina
Evening primrose,Oenothera,biennis
Evening primrose,Oenothera,breviflora
Evening primrose,Oenothera,caespitosa
Evening primrose,Oenothera,contorta
Evening primrose,Oenothera,cruciata
Evening primrose,Oenothera,flava
Evening primrose,Oenothera,nuttallii
Evening primrose,Oenothera,pallida
Evening primrose,Oenothera,parviflora
Evening primrose,Oenothera,pernnis
Evening primrose,Oenothera,pilosella
Evening primrose,Oenothera,serrulata
Fern,Matteuccia,struthipteris
Horseradish,Armoracia,aquatica
Hyssop,Agastache,foeniculum
Hyssop,Agastache,neptoides
Hyssop,Agastache,scrop hulariaefolia
Hyssop,Agastache,urticifolia
Lathyrus,Lathyrus,bijugatus
Lathyrus,Lathyrus,japonicus
Lathyrus,Lathyrus,littoralis
Lathyrus,Lathyrus,nevadensis
Lathyrus,Lathyrus,ochrolucus
Lathyrus,Lathyrus,palustris
Lathyrus,Lathyrus,venosus
Lesquerella,Lesquerella,alpina
Lesquerella,Lesquerella,arctica
Lesquerella,Lesquerella,douglasii
Lesquerella,Lesquerella,ludoviciana
Mint,Mentha,arvensis
Monarda,Monarda,fistulosa
Onion,Allium,acuminatum
Onion,Allium,amplectens
Onion,Allium,canadense
Onion,Allium,cernuum
Onion,Allium,crenulatum
Onion,Allium,geyeri
Onion,Allium,schoenoprasum
Onion,Allium,stellatum
Onion,Allium,textile
Onion,Allium,tricoccum
Onosmodium,Onosmodium,hipiddissimum
Onosmodium,Onosmodium,occidentale
Proso millet,Panicum,bicknellii
Proso millet,Panicum,boreale
Proso millet,Panicum,capillare
Proso millet,Panicum,clandestinum
Proso millet,Panicum,colombianum
Proso millet,Panicum,depauperatum
Proso millet,Panicum,dichotomiflorum
Proso millet,Panicum,dichotomum
Proso millet,Panicum,flexile
Proso millet,Panicum,lanuginosum
Proso millet,Panicum,leibergii
Proso millet,Panicum,linearifolium
Proso millet,Panicum,longifolium
Proso millet,Panicum,macrocarpon
Proso millet,Panicum,meridionale
Proso millet,Panicum,occidentale
Proso millet,Panicum,oligosanther
Proso millet,Panicum,pacificum
Proso millet,Panicum,perlongum
Proso millet,Panicum,philadelphicum
Proso millet,Panicum,praecocius
Proso millet,Panicum,rigidulum
Proso millet,Panicum,sphaerocarpon
Proso millet,Panicum,sprentum
Proso millet,Panicum,subvillosum
Proso millet,Panicum,thermale
Proso millet,Panicum,villosissimum
