Taxon,Included in summary metrics,Category,Associated crop type general,Associated crop type specific,Genus,Associated crop common name,Total Records,Records with latitude,Records with longitude,Records with coordinates,Total G records,Total G records with coordinates,Total H Records,Total H with coordinates,Total occurrences in target native area,Total G occurrences in target native area,Total H occurrences in target native area,AUC,AUCtest,nAUC,cAUC,sensi_train,speci_train,threshold_train,maxTSS_train,minROCdist_train,threshold_test,sensi_test,speci_test,matthewscor_test,LR_pos_test,LR_neg_test,kappa_index_test,SDAUC,ASD15,Valid model,Map used in summary figures,SRSex,GRSex,ERSex,FCSex,FCSex priority category,Total occurrences in modeled area,Total occurrences in modeled area in protected areas,SRSin,GRSin,ERSin,FCSin,FCSin priority category,FCSex value,FCSin value,FCS minimum,FCS maximum,FCSc mean,FCS min priority category,FCC max priority category,FCSc mean priority category,EOO area km2,EOO status,AOO,AOO adjusted minimum,AOO status,Combined threat assessment status,NatureServe taxon aligned,NatureServe Determination Tax note,NatureServe ID,NatureServe G RANK,NatureServe ROUNDED G RANK,NatureServe GRANK REV YR,NatureServe GRANK AGE,NatureServe G RANK CHANGE DATE,NatureServe G RANK REVIEW DATE,USESA STATUS,NatureServe G RANK REASONS,NatureServe G CALCULATED RANK,NatureServe US STATES AND S RANKS,NatureServe CANADIAN PROVINCES AND S RANKS,Red List scientificName,Red List Destermination Tax note,Red List assessment Id,Red List internal Taxon Id,Red List Category,Red List Criteria,Red List year published,Red List assessment date,Red List criteria version,Red List rationale,Red List habitat,Red List threats,Red List population,Red List population trend,Red List range,Red List use trade,Red List systems,Red List conservation actions,Red List realm,Red List year last seen,Red List possibly extinct,Red List possibly extinct in the wild,Red List scopes,Total occurrences in modeled area PADUS,Total occurrences in modeled area in protected areas PADUS,SRSin PADUS,GRSin PADUS,ERSin PADUS,FCSin PADUS,FCSin priority category PADUS
Rubus aliceae,Y,1C,Food,Fruits,Rubus,"Raspberry, blackberry",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,0,0,0,0,UP,0,0,0,NA,NA,0,UP,0,0,0,0,0,UP,UP,UP,0,Critically Endangered (CR),0,0,Critically Endangered (CR),Critically Endangered (CR),Rubus aliceae,accepted,129415,GH,GH,1997,>10 years,4/14/1992,8/28/1997,,Apparently restricted to a single canyon in Santa Fe County; New Mexico where the first and last collection was made in 1945. A 1997 survey to locate the plant was carried out there; but no plants closely matching the description or type were found. The p,,NM(SH),,,,,,,,,,,,,,,,,,,,,,,,,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed
Rubus allegheniensis,Y,1A,Food,Fruits,Rubus,"Raspberry, blackberry",5781,1083,1082,1082,54,28,5727,1054,1079,28,1051,0.915377606,0.905458984,0.919029265,0.486429719,0.8487,0.8096,0.3648,0.6583,0.243818676,0.3648,0.831125076,0.806454219,0.475208006,4.347000106,0.209888447,0.425333527,0.001734897,0.002832466,Y,Y,0.942902043,2.902579945,36.36363636,13.40303945,UP,712,34,4.775280899,3.911847647,95.45454545,34.71389133,HP,13.40303945,34.71389133,13.40303945,34.71389133,24.05846539,UP,HP,UP,2721909.178,Least Concern (LC),2540,2488,Possible Near Threatened (NT),Possible Near Threatened (NT),Rubus allegheniensis,accepted,961897,G5,G5,2016,<5 years,4/6/2016,4/6/2016,,,,AL(SNR); AR(SNR); CA(SNR); CT(SNR); DC(SNR); DE(SNR); GA(SNR); IA(SNR); IL(SNR); IN(SNR); KS(SNR); KY(SNR); MA(SNR); MD(SNR); ME(SNR); MI(SNR); MN(SNR); MO(SNR); NC(SNR); NE(SNR); NH(SNR); NJ(SNR); NY(SNR); OH(SNR); OK(SNR); PA(SNR); RI(SNR); SC(SNR); TN(,BC(SNR); NB(SNR); NS(SNR); ON(S5); PE(SNR); QC(SNR),,,,,,,,,,,,,,,,,,,,,,,,712,141,19.80337079,10.99245966,95.45454546,42.08345863,HP
Rubus alumnus,Y,1C,Food,Fruits,Rubus,"Raspberry, blackberry",763,183,183,183,2,1,761,182,183,1,182,0.872074548,0.808766961,0.851522816,0.457244145,0.8117,0.7933,0.4051,0.605,0.282919511,0.4051,0.679978355,0.792867541,0.145974073,3.321015798,0.399445648,0.070404995,0.006202287,1.853039459,Y,Y,0.262812089,0.396107645,16.66666667,5.775195467,UP,84,3,3.571428571,3.43440862,91.66666667,32.89083462,HP,5.775195467,32.89083462,5.775195467,32.89083462,19.33301504,UP,HP,UP,1165235.479,Least Concern (LC),316,320,Endangered (EN),Endangered (EN),Rubus alumnus,accepted,145220,G5,G5,1994,>10 years,12/23/1994,12/23/1994,,,,AR(SNR); CT(SNR); DC(SNR); IA(S2); IL(SNR); IN(SX); KS(S1); KY(SNR); MA(SNR); MD(SNR); ME(SNR); MN(SNR); MO(SNR); NC(SNR); NE(SNR); NH(SNR); NJ(S2); NY(SNR); OH(SNR); PA(SNR); RI(SNR); TN(SNR); WI(SNR); WV(SH),NS(SNA); ON(SU),,,,,,,,,,,,,,,,,,,,,,,,84,6,7.142857143,9.471548617,91.66666667,36.09369081,HP
Rubus andrewsianus,Y,1C,Food,Fruits,Rubus,"Raspberry, blackberry",59,13,13,13,0,0,59,13,13,0,13,0.988020853,0.871361566,0.976729104,0.394632462,1,0.981333333,0.588666667,0.981333333,0.018666667,0.588666667,0.5,0.980569883,0.237359505,19.30833333,0.505908187,0.186034832,0.003667021,74.69096245,N,Y,0,0,0,0,UP,6,0,0,0.650182996,50,16.88339433,UP,0,16.88339433,0,16.88339433,8.441697166,UP,UP,UP,287.0125428,Endangered (EN),12,12,Endangered (EN),Endangered (EN),Rubus andrewsianus,accepted,128054,G4?,G4,1994,>10 years,12/23/1994,12/23/1994,,,,CT(SNR); DC(SNR); MA(SNR); MD(SNR); NJ(S3); NY(SNR); PA(SNR); WV(SH),,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,14.93506494,100,38.31168831,HP
Rubus arcticus,N,1A,Food,Fruits,Rubus,"Raspberry, blackberry",3593,1357,1357,1357,11,2,3582,1355,1222,2,1220,0.875733672,0.858927118,0.933964464,0.424962654,0.8047,0.7925,0.4127,0.5972,0.285295613,0.4127,0.779786967,0.788063309,0.444494173,3.691766811,0.278191881,0.404859776,0.001815959,0.002728817,Y,N,0.307091011,0,0,0.10236367,UP,887,262,29.53776776,33.26684383,95.23809524,52.68090227,MP,0.10236367,52.68090227,0.10236367,52.68090227,26.39163297,UP,MP,HP,7402572.298,Least Concern (LC),2516,2472,Possible Near Threatened (NT),Possible Near Threatened (NT),Rubus arcticus,accepted,155826,G5,G5,2016,<5 years,1/19/1984,4/6/2016,,,,AK(S5); CO(SNR); ME(SNR); MI(SNR); MN(SNR); MT(S2); OR(SNR); WA(SNR); WI(SNR); WY(S2),AB(S5); BC(S5); LB(S5); MB(S5); NF(S3S4); NT(SNR); NU(SU); ON(S5); QC(S4S5); SK(S4); YT(S5),Rubus arcticus,accepted,67730712,64323866,Least Concern,,2016,2015-08-03 00:00:00 UTC,3.1,"The species is widespread and while it is possibly declining in parts of its range, it is not thought that any global population decline is likely to meet (or be close to meeting) the threshold for Vulnerable. Therefore the species is assessed as Least Concern.","This plant grows in moist turfy places in tundra, heathlands, and woodlands, subalpine meadows and alpine herbmats (CYSIP 2015).",There are no known widespread threats to the species.,The species is classed as globally 'Secure' by NatureServe (2014).&#160;The Canadian Endangered Species Conservation Council (CESCC 2011) also class the species as 'Secure' (for Canada only).,Unknown,"The species has a circumpolar range and it is found across northern North America, Northern Europe and East Asia (Flora of North America Editorial Committee 1993+).",The fruits are very sweet and they have been&#160;used in making cakes and jams (Plants for a Future 2015).,Terrestrial|Freshwater (=Inland waters),"No conservation actions for the species are known, or likely to be needed.",Nearctic|Palearctic,,,,Global,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed
Rubus arcticus subsp. acaulis,Y,1A,Food,Fruits,Rubus,"Raspberry, blackberry",959,555,552,552,6,0,953,552,531,0,531,0.846316471,0.807638064,0.851580363,0.4560577,0.7559,0.7688,0.408,0.5247,0.337568074,0.408,0.691760314,0.768954958,0.280500185,3.015895373,0.400252129,0.220132812,0.002579905,0.135745361,Y,Y,0.629590766,0,0,0.209863589,UP,427,75,17.56440281,15.60560661,96.42857143,43.19952695,HP,0.209863589,43.19952695,0.209863589,43.19952695,21.70469527,UP,HP,UP,11581997.91,Least Concern (LC),1504,1496,Vulnerable (VU),Vulnerable (VU),Rubus arcticus subsp. acaulis,accepted,141689,G5T5,T5,2016,<5 years,1/19/1984,4/6/2016,,,,AK(SNR); CO(S1); ME(SNR); MI(S1); MN(SNR); MT(SNR); OR(SU); WA(S1); WI(SNR); WY(S2),AB(S5); BC(S4); LB(S5); MB(S5); NF(S3S4); NT(SNR); NU(SU); ON(S5); QC(S4S5); SK(S4); YT(S5),,,,,,,,,,,,,,,,,,,,,,,,427,21,4.918032787,8.978629277,60.71428571,24.87031593,UP
Rubus arcticus subsp. arcticus,Y,1A,Food,Fruits,Rubus,"Raspberry, blackberry",84,58,58,58,3,3,81,55,56,3,53,0.952414281,0.861752633,0.8664735,0.481872612,0.8838,0.9081,0.424,0.7919,0.152559165,0.424,0.633888889,0.905271525,0.184877954,7.05827545,0.404790608,0.109684207,0.004323448,4.342214939,Y,Y,3.703703704,3.37189526,37.5,14.85853299,UP,54,22,40.74074074,35.2319752,100,58.65757198,MP,14.85853299,58.65757198,14.85853299,58.65757198,36.75805248,UP,MP,HP,1060952.467,Least Concern (LC),124,124,Endangered (EN),Endangered (EN),Rubus arcticus subsp. arcticus,accepted,137292,G5T5,T5,1993,>10 years,3/16/1993,3/16/1993,,,,AK(SNR),AB(SU); NT(SNR); YT(SNR),,,,,,,,,,,,,,,,,,,,,,,,54,35,64.81481481,79.97062779,87.5,77.42848087,LP
Rubus arcticus subsp. stellatus,Y,1A,Food,Fruits,Rubus,"Raspberry, blackberry",485,216,216,216,6,6,479,210,150,5,145,0.92567705,0.88103098,0.864056625,0.516974355,0.8572,0.8795,0.2993,0.7367,0.187100959,0.2993,0.758354978,0.876684815,0.288310841,6.524619606,0.275679961,0.200966767,0.003924262,0.257770711,Y,Y,1.252609603,5.26343246,27.27272727,11.26292311,UP,136,38,27.94117647,51.59232809,100,59.84450152,MP,11.26292311,59.84450152,11.26292311,59.84450152,35.55371232,UP,MP,HP,4373862.138,Least Concern (LC),520,504,Vulnerable (VU),Vulnerable (VU),Rubus arcticus subsp. stellatus,accepted,149557,G5T4,T4,1994,>10 years,3/24/1994,3/24/1994,,,,AK(S4),BC(S4); NT(SNR); YT(S2S3),,,,,,,,,,,,,,,,,,,,,,,,136,53,38.97058824,72.82285455,90.90909091,67.56751123,MP
Rubus argutus,Y,1A,Food,Fruits,Rubus,"Raspberry, blackberry",3357,257,257,257,8,5,3349,252,247,5,242,0.793171849,0.660720156,0.81049315,0.350227006,0.7404,0.7062,0.4467,0.4466,0.401404062,0.4467,0.515169145,0.700834942,0.066849248,1.741991113,0.68430541,0.030175934,0.006383871,0.463901991,N,Y,0.238877277,2.768326344,28.57142857,10.52621073,UP,127,11,8.661417323,5.111321695,100,37.92424634,HP,10.52621073,37.92424634,10.52621073,37.92424634,24.22522853,UP,HP,UP,1023026.221,Least Concern (LC),456,456,Endangered (EN),Endangered (EN),Rubus argutus,accepted,144574,G5,G5,1988,>10 years,8/4/1988,8/4/1988,,,,AL(SNR); AR(SNR); CT(SNR); DC(SNR); DE(SU); FL(SNR); GA(SNR); HI(SNA); IL(SNR); IN(SNR); KS(S1); KY(SNR); LA(SU); MA(SNR); MD(SNR); ME(SNR); MO(SNR); MS(SNR); NC(S5); NJ(S1); OH(SNR); PA(SNR); SC(SNR); TN(SNR); TX(SU); VA(S5); WV(S3),,,,,,,,,,,,,,,,,,,,,,,,,127,15,11.81102362,10.79763913,100,40.86955425,HP
Rubus arundelanus,Y,1C,Food,Fruits,Rubus,"Raspberry, blackberry",41,9,9,9,0,0,41,9,8,0,8,0.864228927,0.68651426,0.774814631,0.411699629,0.944333333,0.832,0.536666667,0.776333333,0.187149937,0.536666667,0.416666667,0.819822534,0.018721404,1.826096145,0.686930877,0.00171546,0.085416036,41.51588725,N,Y,0,0,0,0,UP,3,0,0,3.410537032,100,34.47017901,HP,0,34.47017901,0,34.47017901,17.23508951,UP,HP,UP,6003.917944,Vulnerable (VU),12,12,Endangered (EN),Endangered (EN),Rubus arundelanus,accepted,145318,GUQ,GU,1996,>10 years,6/30/1996,6/30/1996,,,,,ON(SU),,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3.298633509,100,34.43287784,HP
