,Crop,sci_nam,scntfcN,vrbtmSN,ECO_CODE,ECO_NAME,ECODE_NAME,PRENAME,PRFNAME,geometry,
979,Milk-vetch,Astragalus crassicarpus,Astragalus crassicarpus Nutt.,Astragalus crassicarpus Nutt.,NA0801,Aspen Parkland,NA0801. Aspen Parkland,Manitoba,Manitoba,c(-99.472501, 49.59828)
980,Milk-vetch,Astragalus canadensis,Astragalus canadensis L.,Astragalus canadensis L.,NA0811,Northern Tallgrass Prairie,NA0811. Northern Tallgrass Prairie,Manitoba,Manitoba,c(-97.499472, 50.052778)
981,Milk-vetch,Astragalus canadensis,Astragalus canadensis L.,Astragalus canadensis L.,NA0801,Aspen Parkland,NA0801. Aspen Parkland,Manitoba,Manitoba,c(-99.034167, 49.68)
982,Milk-vetch,Astragalus bisulcatus,Astragalus bisulcatus A.Gray,Astragalus bisulcatus (Hook.) Gray,NA0603,Boreal Plains,NA0603. Boreal Plains,Manitoba,Manitoba,c(-100.2503394, 50.88322179)
983,Milk-vetch,Astragalus missouriensis,Astragalus missouriensis Nutt.,Astragalus missouriensis Nutt.,NA0801,Aspen Parkland,NA0801. Aspen Parkland,Manitoba,Manitoba,c(-98.197172, 49.090731)
984,Milk-vetch,Astragalus bisulcatus,Astragalus bisulcatus A.Gray,Astragalus bisulcatus (Hook.) Gray,NA0801,Aspen Parkland,NA0801. Aspen Parkland,Manitoba,Manitoba,c(-98.2173, 49.137228)
985,Bluestem,Andropogon gerardii,Andropogon gerardii Vitman,Andropogon gerardi Vitman,NA0801,Aspen Parkland,NA0801. Aspen Parkland,Manitoba,Manitoba,c(-98.301558, 49.388111)
986,Milk-vetch,Astragalus canadensis,Astragalus canadensis L.,Astragalus canadensis L.,NA0604,Boreal Shield,NA0604. Boreal Shield,Manitoba,Manitoba,c(-95.83352923, 51.33324347)
987,Milk-vetch,Astragalus agrestis,Astragalus agrestis Douglas,Astragalus agrestis Dougl. ex G. Don,NA0604,Boreal Shield,NA0604. Boreal Shield,Manitoba,Manitoba,c(-95.86519112, 50.6689064)
988,Bluestem,Andropogon gerardii,Andropogon gerardii Vitman,Andropogon gerardi Vitman,NA0604,Boreal Shield,NA0604. Boreal Shield,Manitoba,Manitoba,c(-95.60018, 50.41690609)
989,Milk-vetch,Astragalus missouriensis,Astragalus missouriensis Nutt.,Astragalus missouriensis Nutt.,NA0603,Boreal Plains,NA0603. Boreal Plains,Manitoba,Manitoba,c(-100.2503381, 50.78288824)
990,Milk-vetch,Astragalus canadensis,Astragalus canadensis L.,Astragalus canadensis L.,NA0418,Superior Mixed Forest,NA0418. Superior Mixed Forest,Manitoba,Manitoba,c(-96.61721495, 50.53290284)
991,Milk-vetch,Astragalus alpinus,Astragalus alpinus L.,Astragalus alpinus L.,NA0603,Boreal Plains,NA0603. Boreal Plains,Manitoba,Manitoba,c(-101.1673774, 51.4858879)
992,Milk-vetch,Astragalus tenellus,Astragalus tenellus Pursh,Astragalus tenellus Pursh,NA0603,Boreal Plains,NA0603. Boreal Plains,Manitoba,Manitoba,c(-100.7503654, 51.63289103)
993,Milk-vetch,Astragalus eucosmus,Astragalus eucosmus Robinson,Astragalus eucosmus B.L. Robins.,NA0603,Boreal Plains,NA0603. Boreal Plains,Manitoba,Manitoba,c(-100.9003698, 51.58388993)
994,Milk-vetch,Astragalus americanus,Astragalus frigidus var. americanus (Hook.) S.Watson,Astragalus frigidus var. americanus (Hooker) S. Watson,NA0603,Boreal Plains,NA0603. Boreal Plains,Manitoba,Manitoba,c(-101.414722, 52.498333)
995,Milk-vetch,Astragalus williamsii,Astragalus williamsii Rydb.,Astragalus williamsii,NA0602,Boreal Cordillera,NA0602. Boreal Cordillera,Yukon,Yukon,c(-136.03, 61.8)
996,Milk-vetch,Astragalus tenellus,Astragalus tenellus Pursh,Astragalus tenellus,NA0602,Boreal Cordillera,NA0602. Boreal Cordillera,Yukon,Yukon,c(-136.58, 62.83)
997,Milk-vetch,Astragalus eucosmus,Astragalus eucosmus Robinson,Astragalus eucosmus,NA0609,Western Taiga Shield,NA0609. Western Taiga Shield,Northwest Territories,Territoires du Nord-Ouest,c(-114.37, 62.45)
998,Milk-vetch,Astragalus alpinus,Astragalus alpinus L.,Astragalus alpinus,NA0612,Alaska Range,NA0612. Alaska Range,Yukon,Yukon,c(-138.613, 60.9917)
999,Milk-vetch,Astragalus eucosmus,Astragalus eucosmus Robinson,Astragalus eucosmus,NA0801,Aspen Parkland,NA0801. Aspen Parkland,Alberta,Alberta,c(-113.92, 52.47)
1000,Milk-vetch,Astragalus alpinus,Astragalus alpinus L.,Astragalus alpinus,NA0605,Eastern Taiga Shield,NA0605. Eastern Taiga Shield,Newfoundland and Labrador,Terre-Neuve-et-Labrador,c(-61.75, 56.5)
1001,Milk-vetch,Astragalus umbellatus,Astragalus umbellatus Bunge,Astragalus umbellatus,NA0602,Boreal Cordillera,NA0602. Boreal Cordillera,Yukon,Yukon,c(-138.43, 60.92)
1002,Milk-vetch,Astragalus eucosmus,Astragalus eucosmus Robinson,Astragalus eucosmus,NA1108,Southern Arctic,NA1108. Southern Arctic,Northwest Territories,Territoires du Nord-Ouest,c(-132.33, 68.33)
1003,Milk-vetch,Astragalus bodinii,Astragalus yukonis M.E.Jones,Astragalus yukonis,NA0602,Boreal Cordillera,NA0602. Boreal Cordillera,Yukon,Yukon,c(-136.65, 62.73)
1004,Milk-vetch,Astragalus canadensis,Astragalus canadensis L.,Astragalus canadensis L.,NA0602,Boreal Cordillera,NA0602. Boreal Cordillera,Yukon,Yukon,c(-135.07901, 60.7141)
1005,Milk-vetch,Astragalus bodinii,Astragalus bodinii E.Sheld.,Astragalus bodinii Sheldon,NA0608,Taiga Plains,NA0608. Taiga Plains,Yukon,Yukon,c(-134.9807, 65.9338)
1006,Milk-vetch,Astragalus tenellus,Astragalus tenellus Pursh,Astragalus tenellus Pursh,NA0608,Taiga Plains,NA0608. Taiga Plains,Yukon,Yukon,c(-124.52778, 60.0333)
1007,Milk-vetch,Astragalus eucosmus,Astragalus eucosmus Robinson,Astragalus eucosmus Robins.,NA0608,Taiga Plains,NA0608. Taiga Plains,Yukon,Yukon,c(-124.04916, 60.05361)
1008,Milk-vetch,Astragalus umbellatus,Astragalus umbellatus Bunge,Astragalus umbellatus Bunge,NA0602,Boreal Cordillera,NA0602. Boreal Cordillera,Northwest Territories,Territoires du Nord-Ouest,c(-124.12194, 60.24194)
1009,Milk-vetch,Astragalus alpinus,Astragalus alpinus L.,Astragalus alpinus L.,NA0608,Taiga Plains,NA0608. Taiga Plains,Yukon,Yukon,c(-124.03583, 60.079167)
1010,Milk-vetch,Astragalus eucosmus,Astragalus eucosmus subsp. eucosmus,Astragalus eucosmus B.L. Robins. subsp. eucosmus,NA1102,Alaska-Yukon Arctic,NA1102. Alaska-Yukon Arctic,Yukon,Yukon,c(-136.89328, 68.8871)
1011,Milk-vetch,Astragalus eucosmus,Astragalus eucosmus Robinson,Astragalus eucosmus B.L. Robins,NA0504,Canadian Rocky Mountains,NA0504. Canadian Rocky Mountains,Alberta,Alberta,c(-118.6022, 53.50806)
1012,Milk-vetch,Astragalus americanus,Astragalus americanus (Hook.) M.E.Jones,Astragalus americanus (Hook.) M.E. Jones,NA0608,Taiga Plains,NA0608. Taiga Plains,Yukon,Yukon,c(-124.23278, 60.23278)
1013,Milk-vetch,Astragalus bodinii,Astragalus bodinii E.Sheld.,Astragalus bodinii Sheldon,NA0504,Canadian Rocky Mountains,NA0504. Canadian Rocky Mountains,Alberta,Alberta,c(-117.33389, 53.001101)
1014,Milk-vetch,Astragalus americanus,Astragalus americanus (Hook.) M.E.Jones,Astragalus americanus (Hook.) M.E. Jones,NA0604,Boreal Shield,NA0604. Boreal Shield,Manitoba,Manitoba,c(-94.69756, 56.347789)
1015,Milk-vetch,Astragalus williamsii,Astragalus williamsii Rydb.,Astragalus williamsii Rydb.,NA0610,Yukon Plateau And Flats,NA0610. Yukon Plateau and Flats,Yukon,Yukon,c(-140.54028, 61.98494)
1016,Milk-vetch,Astragalus agrestis,Astragalus agrestis Dougl. ex G.Don,Astragalus agrestis Dougl. ex G.Don,NA0609,Western Taiga Shield,NA0609. Western Taiga Shield,Northwest Territories,Territoires du Nord-Ouest,c(-115.499035, 62.692532)
1017,Milk-vetch,Astragalus tenellus,Astragalus tenellus Pursh,Astragalus tenellus Pursh,NA1109,Taiga Cordillera,NA1109. Taiga Cordillera,Yukon,Yukon,c(-134.6383, 64.7438)
1018,Milk-vetch,Astragalus drummondii,Astragalus drummondii Douglas,Astragalus drummondii Douglas,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Saskatchewan,Saskatchewan,c(-107.75066, 49.466691)
1019,Milk-vetch,Astragalus spatulatus,Astragalus spatulatus E.Sheld.,Astragalus spatulatus E. Sheld.,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Saskatchewan,Saskatchewan,c(-108.720585, 50.052282)
1020,Milk-vetch,Astragalus alpinus,Astragalus alpinus L.,Astragalus alpinus Linnaeus,NA0606,Hudson Plains,NA0606. Hudson Plains,Quebec,Quebec,c(-78.8569, 51.1668)
1021,Milk-vetch,Astragalus agrestis,Astragalus agrestis Dougl. ex G.Don,Astragalus agrestis Douglas ex G. Don,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Alberta,Alberta,c(-110.040283, 49.679517)
1022,Milk-vetch,Astragalus crassicarpus,Astragalus crassicarpus Nutt.,Astragalus crassicarpus Nutt.,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Alberta,Alberta,c(-110.040283, 49.679517)
1023,Milk-vetch,Astragalus drummondii,Astragalus drummondii Douglas,Astragalus drummondii Douglas,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Alberta,Alberta,c(-110.040283, 49.679517)
1024,Milk-vetch,Astragalus flexuosus,Astragalus flexuosus Dougl. ex G.Don,Astragalus flexuosus (Hook.) Douglas ex G. Don,NA0811,Northern Tallgrass Prairie,NA0811. Northern Tallgrass Prairie,Manitoba,Manitoba,c(-97.246, 49.96)
1025,Milk-vetch,Astragalus bodinii,Astragalus bodinii E.Sheld.,Astragalus bodinii E. Sheld.,NA0604,Boreal Shield,NA0604. Boreal Shield,Manitoba,Manitoba,c(-99.996667, 56.516667)
1026,Milk-vetch,Astragalus tenellus,Astragalus tenellus Pursh,Astragalus tenellus Pursh,NA0811,Northern Tallgrass Prairie,NA0811. Northern Tallgrass Prairie,Manitoba,Manitoba,c(-97.960103, 50.337316)
1027,Milk-vetch,Astragalus flexuosus,Astragalus flexuosus Dougl. ex G.Don,Astragalus flexuosus (Hook.) Douglas ex G. Don,NA0801,Aspen Parkland,NA0801. Aspen Parkland,Alberta,Alberta,c(-113.55687, 53.47556)
1028,Milk-vetch,Astragalus kentrophyta,Astragalus kentrophyta A.Gray,Astragalus kentrophyta A. Gray,NA0808,Fescue-Mixed Grass Prairie,NA0808. Fescue-Mixed Grass Prairie,Alberta,Alberta,c(-113.016667, 49.016667)
1029,Milk-vetch,Astragalus robbinsii,Astragalus robbinsii var. occidentalis S.Watson,Astragalus robbinsii A. Gray var. occidentalis S. Wats.,NA0808,Fescue-Mixed Grass Prairie,NA0808. Fescue-Mixed Grass Prairie,Alberta,Alberta,c(-113.016667, 49.016667)
1030,Milk-vetch,Astragalus drummondii,Astragalus drummondii Douglas,Astragalus drummondii Douglas,NA0808,Fescue-Mixed Grass Prairie,NA0808. Fescue-Mixed Grass Prairie,Alberta,Alberta,c(-113.016667, 49.016667)
1031,Milk-vetch,Astragalus robbinsii,Astragalus robbinsii var. minor (Hook.) Barneby,Astragalus robbinsii var. minor (Hook.) Barneby,NA0604,Boreal Shield,NA0604. Boreal Shield,Newfoundland and Labrador,Terre-Neuve-et-Labrador,c(-57.083333, 51.416667)
1032,Bluestem,Andropogon gerardii,Andropogon gerardii Vitman,Andropogon gerardii Vitman,NA0417,St. Lawrence - Champlain Valley,NA0417. St. Lawrence - Champlain Valley,Quebec,Quebec,c(-73.783333, 45.616667)
1033,Milk-vetch,Astragalus alpinus,Astragalus brunetianus (Fernald) Rousseau,Astragalus brunetianus (Fernald) J. Rousseau,NA0411,Northern Appalachian / Acadian,NA0411. Northern Appalachian / Acadian,Quebec,Quebec,c(-66.89512, 47.992415)
1034,Milk-vetch,Astragalus neglectus,Astragalus cooperi A.Gray,Astragalus cooperi A. Gray,NA0417,St. Lawrence - Champlain Valley,NA0417. St. Lawrence - Champlain Valley,Quebec,Quebec,c(-73.783333, 45.616667)
1035,Milk-vetch,Astragalus canadensis,Astragalus canadensis L.,Astragalus canadensis Linnaeus,NA0417,St. Lawrence - Champlain Valley,NA0417. St. Lawrence - Champlain Valley,Quebec,Quebec,c(-73.783333, 45.616667)
1036,Milk-vetch,Astragalus eucosmus,Astragalus eucosmus Robinson,Astragalus eucosmus B.L. Rob.,NA1108,Southern Arctic,NA1108. Southern Arctic,Nunavut,Nunavut,c(-95.5, 62.28333)
1037,Milk-vetch,Astragalus pectinatus,Astragalus pectinatus Dougl. ex G.Don,Astragalus pectinatus (Hook.) Douglas ex. G. Don,NA0603,Boreal Plains,NA0603. Boreal Plains,Alberta,Alberta,c(-117.283333, 53.983333)
1038,Milk-vetch,Astragalus missouriensis,Astragalus missouriensis Nutt.,Astragalus missouriensis Nuttall,NA0801,Aspen Parkland,NA0801. Aspen Parkland,Alberta,Alberta,c(-112.2, 52.5)
1039,Milk-vetch,Astragalus pectinatus,Astragalus pectinatus Dougl. ex G.Don,Astragalus pectinatus (Hook.) Douglas ex. G. Don,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Alberta,Alberta,c(-110.916667, 50.083333)
1040,Milk-vetch,Astragalus eucosmus,Astragalus eucosmus Robinson,Astragalus eucosmus B. L. Robinson,NA0606,Hudson Plains,NA0606. Hudson Plains,Quebec,Quebec,c(-79.153056, 50.587222)
1041,Milk-vetch,Astragalus tenellus,Astragalus tenellus Pursh,Astragalus tenellus Pursh,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Alberta,Alberta,c(-111.75, 49.166667)
1042,Milk-vetch,Astragalus americanus,Astragalus americanus (Hook.) M.E.Jones,Astragalus americanus (Hook.) M. E. Jones,NA0411,Northern Appalachian / Acadian,NA0411. Northern Appalachian / Acadian,Quebec,Quebec,c(-65.437222, 48.07)
1043,Milk-vetch,Astragalus robbinsii,Astragalus robbinsii var. fernaldii (Rydb.) Barneby,Astragalus robbinsii var. fernaldii (Rydb.) Barneby,NA0604,Boreal Shield,NA0604. Boreal Shield,Quebec,Quebec,c(-57.117778, 51.422778)
1044,Milk-vetch,Astragalus missouriensis,Astragalus missouriensis Nutt.,Astragalus missouriensis Nuttall,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Alberta,Alberta,c(-111.133333, 50.166667)
1045,Milk-vetch,Astragalus gilviflorus,Astragalus gilviflorus var. gilviflorus,Astragalus gilviflorus var. gilviflorus,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Alberta,Alberta,c(-110.75, 50)
1046,Milk-vetch,Astragalus canadensis,Astragalus canadensis L.,Astragalus canadensis Linnaeus,NA0606,Hudson Plains,NA0606. Hudson Plains,Quebec,Quebec,c(-79.083333, 50.616667)
1047,Milk-vetch,Astragalus eucosmus,Astragalus eucosmus Robinson,Astragalus eucosmus B. L. Robinson,NA0604,Boreal Shield,NA0604. Boreal Shield,Quebec,Quebec,c(-78.574722, 49.713056)
1048,Milk-vetch,Astragalus robbinsii,Astragalus robbinsii (Oakes) A.Gray,Astragalus robbinsii (Oakes) Gray,NA0603,Boreal Plains,NA0603. Boreal Plains,Alberta,Alberta,c(-114.916667, 51.783333)
1049,Milk-vetch,Astragalus bodinii,Astragalus bodinii E.Sheld.,Astragalus bodinii E.Sheld.,NA0801,Aspen Parkland,NA0801. Aspen Parkland,Alberta,Alberta,c(-114, 52)
1050,Milk-vetch,Astragalus bisulcatus,Astragalus bisulcatus A.Gray,Astragalus bisulcatus (Hook.) A. Gray,NA0504,Canadian Rocky Mountains,NA0504. Canadian Rocky Mountains,Alberta,Alberta,c(-114.25, 50.25)
1051,Milk-vetch,Astragalus crassicarpus,Astragalus crassicarpus Nutt.,Astragalus crassicarpus Nuttall,NA0603,Boreal Plains,NA0603. Boreal Plains,Alberta,Alberta,c(-115.166667, 51.666667)
1052,Milk-vetch,Astragalus bisulcatus,Astragalus bisulcatus A.Gray,Astragalus bisulcatus (Hook.) A. Gray,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Alberta,Alberta,c(-111.75, 49.166667)
1053,Milk-vetch,Astragalus americanus,Astragalus gaspensis Rousseau,Astragalus gaspensis J. Rousseau,NA0609,Western Taiga Shield,NA0609. Western Taiga Shield,Nunavut,Nunavut,c(-96, 60)
1054,Milk-vetch,Astragalus bodinii,Astragalus stragulus Fern.,Astragalus stragulus Fernald,NA0609,Western Taiga Shield,NA0609. Western Taiga Shield,Nunavut,Nunavut,c(-96, 60)
1055,Milk-vetch,Astragalus bisulcatus,Astragalus bisulcatus A.Gray,Astragalus bisulcatus (Hook.) A. Gray,NA0801,Aspen Parkland,NA0801. Aspen Parkland,Alberta,Alberta,c(-110.909653, 53.507933)
1056,Milk-vetch,Astragalus canadensis,Astragalus canadensis L.,Astragalus canadensis L.,NA0603,Boreal Plains,NA0603. Boreal Plains,Alberta,Alberta,c(-111.57237, 56.993003)
1057,Milk-vetch,Astragalus umbellatus,Astragalus umbellatus Bunge,Astragalus umbellatus,NA0608,Taiga Plains,NA0608. Taiga Plains,Yukon,Yukon,c(-135.58, 66.45)
1058,Milk-vetch,Astragalus umbellatus,Astragalus umbellatus Bunge,Astragalus umbellatus,NA1109,Taiga Cordillera,NA1109. Taiga Cordillera,Yukon,Yukon,c(-131.35, 63.31)
1059,Milk-vetch,Astragalus americanus,Astragalus americanus (Hook.) M.E.Jones,Astragalus americanus,NA0610,Yukon Plateau And Flats,NA0610. Yukon Plateau and Flats,Yukon,Yukon,c(-140.557096, 61.988006)
1060,Milk-vetch,Astragalus umbellatus,Astragalus umbellatus Bunge,Astragalus umbellatus,NA0612,Alaska Range,NA0612. Alaska Range,Yukon,Yukon,c(-138.733333, 60.816667)
1061,Milk-vetch,Astragalus alpinus,Astragalus alpinus subsp. alpinus,Astragalus alpinus subsp. alpinus,NA0509,Gulf Of Alaska Mountains And Fjordlands,NA0509. Gulf of Alaska Mountains and Fjordlands,Yukon,Yukon,c(-138.966667, 60.283333)
1062,Milk-vetch,Astragalus canadensis,Astragalus canadensis var. canadensis,Astragalus canadensis var. canadensis,NA0604,Boreal Shield,NA0604. Boreal Shield,Quebec,Quebec,c(-78.721222, 46.345639)
1063,Milk-vetch,Astragalus drummondii,Astragalus drummondii Douglas,Astragalus drummondii Douglas,NA0801,Aspen Parkland,NA0801. Aspen Parkland,Alberta,Alberta,c(-112.956233, 51.7936)
1064,Milk-vetch,Astragalus kentrophyta,Astragalus kentrophyta var. kentrophyta,Astragalus kentrophyta A. Gray var. kentrophyta,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Alberta,Alberta,c(-111.623362, 49.077394)
1065,Milk-vetch,Astragalus drummondii,Astragalus drummondii Douglas,Astragalus drummondii Douglas,NA0504,Canadian Rocky Mountains,NA0504. Canadian Rocky Mountains,British Columbia,Colombie-Britannique,c(-114.7733, 49.7808)
1066,Milk-vetch,Astragalus crassicarpus,Astragalus crassicarpus Nutt.,Astragalus crassicarpus Nutt.,NA0504,Canadian Rocky Mountains,NA0504. Canadian Rocky Mountains,Alberta,Alberta,c(-113.480456, 49.00198)
1067,Milk-vetch,Astragalus spatulatus,Astragalus spatulatus E.Sheld.,Astragalus spatulatus E. Sheld.,NA0808,Fescue-Mixed Grass Prairie,NA0808. Fescue-Mixed Grass Prairie,Alberta,Alberta,c(-112.842, 49.6933)
1068,Milk-vetch,Astragalus spatulatus,Astragalus spatulatus E.Sheld.,Astragalus spatulatus E. Sheld.,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Alberta,Alberta,c(-110.435172, 50.942872)
1069,Milk-vetch,Astragalus flexuosus,Astragalus flexuosus Dougl. ex G.Don,Astragalus flexuosus (Hook.) Douglas ex G. Don,NA0603,Boreal Plains,NA0603. Boreal Plains,Alberta,Alberta,c(-114.515507, 51.929647)
1070,Milk-vetch,Astragalus umbellatus,Astragalus umbellatus Bunge,Astragalus umbellatus Bunge,NA1102,Alaska-Yukon Arctic,NA1102. Alaska-Yukon Arctic,Northwest Territories,Territoires du Nord-Ouest,c(-136.366667, 68.266667)
1071,Milk-vetch,Astragalus alpinus,Astragalus alpinus L.,Astragalus alpinus L.,NA0603,Boreal Plains,NA0603. Boreal Plains,Northwest Territories,Territoires du Nord-Ouest,c(-111.8852, 60.0059)
1072,Milk-vetch,Astragalus americanus,Astragalus americanus (Hook.) M.E.Jones,Astragalus americanus (Hook.) M. E. Jones,NA0608,Taiga Plains,NA0608. Taiga Plains,Northwest Territories,Territoires du Nord-Ouest,c(-121.3544, 61.8632)
1073,Milk-vetch,Astragalus umbellatus,Astragalus umbellatus Bunge,Astragalus umbellatus Bunge,NA1109,Taiga Cordillera,NA1109. Taiga Cordillera,Northwest Territories,Territoires du Nord-Ouest,c(-129.7853, 63.3085)
1074,Milk-vetch,Astragalus agrestis,Astragalus danicus var. dasyglottis (Fisch. ex DC.) B.Boivin,Astragalus danicus Retz. var. dasyglottis (Fisch. ex DC.) B. Boivin,NA0603,Boreal Plains,NA0603. Boreal Plains,Northwest Territories,Territoires du Nord-Ouest,c(-112.733333, 60.35)
1075,Milk-vetch,Astragalus eucosmus,Astragalus eucosmus Robinson,Astragalus eucosmus B. L. Rob.,NA0603,Boreal Plains,NA0603. Boreal Plains,Northwest Territories,Territoires du Nord-Ouest,c(-112.266667, 60.1)
1076,Milk-vetch,Astragalus americanus,Astragalus americanus (Hook.) M.E.Jones,Astragalus americanus (Hook.) M. E. Jones,NA1109,Taiga Cordillera,NA1109. Taiga Cordillera,Northwest Territories,Territoires du Nord-Ouest,c(-127.583333, 62.083333)
1077,Milk-vetch,Astragalus americanus,Astragalus americanus (Hook.) M.E.Jones,Astragalus americanus (Hook.) M. E. Jones,NA0603,Boreal Plains,NA0603. Boreal Plains,Northwest Territories,Territoires du Nord-Ouest,c(-112.116667, 60.033333)
1078,Milk-vetch,Astragalus miser,Astragalus miser var. serotinus (A.Gray) Barneby,Astragalus miser Douglas ex Hook. var. serotinus (A. Gray ex Cooper) Barneby,NA0603,Boreal Plains,NA0603. Boreal Plains,Alberta,Alberta,c(-117.5757, 53.4026)
1079,Milk-vetch,Astragalus bourgovii,Astragalus bourgovii A.Gray,Astragalus bourgovii A. Gray,NA0603,Boreal Plains,NA0603. Boreal Plains,Alberta,Alberta,c(-115.5611, 52.9671)
1080,Milk-vetch,Astragalus canadensis,Astragalus canadensis L.,Astragalus canadensis Linnaeus,NA0411,Northern Appalachian / Acadian,NA0411. Northern Appalachian / Acadian,Quebec,Quebec,c(-70.266667, 47.033333)
1081,Milk-vetch,Astragalus robbinsii,Astragalus robbinsii (Oakes) A.Gray,Astragalus robbinsii (Oakes) A. Gray,NA1107,Northern Arctic,NA1107. Northern Arctic,Northwest Territories,Territoires du Nord-Ouest,c(-120.05, 73.6)
1082,Milk-vetch,Astragalus alpinus,Astragalus alpinus L.,Astragalus alpinus Linnaeus,NA0411,Northern Appalachian / Acadian,NA0411. Northern Appalachian / Acadian,New Brunswick,Nouveau-Brunswick,c(-67.483333, 46)
1083,Milk-vetch,Astragalus bisulcatus,Astragalus bisulcatus A.Gray,Astragalus bisulcatus (Hooker) A. Gray,NA0810,Northern Great Plains Steppe,NA0810. Northern Great Plains Steppe,Saskatchewan,Saskatchewan,c(-108.4168, 49.3332)
1084,Milk-vetch,Astragalus eucosmus,Astragalus eucosmus Robinson,Astragalus eucosmus Robinson,NA0604,Boreal Shield,NA0604. Boreal Shield,Newfoundland and Labrador,Terre-Neuve-et-Labrador,c(-57.633333, 50.133333)
1085,Milk-vetch,Astragalus robbinsii,Astragalus robbinsii (Oakes) A.Gray,Astragalus robbinsii (Oakes) A. Gray,NA0411,Northern Appalachian / Acadian,NA0411. Northern Appalachian / Acadian,Quebec,Quebec,c(-65.80596, 49.221843)
1086,Bluestem,Andropogon gerardii,Andropogon gerardii Vitman,Andropogon gerardi,NA0604,Boreal Shield,NA0604. Boreal Shield,Quebec,Quebec,c(-76.416667, 45.516667)
1087,Milk-vetch,Astragalus tenellus,Astragalus tenellus Pursh,Astragalus tenellus,NA0801,Aspen Parkland,NA0801. Aspen Parkland,Alberta,Alberta,c(-113.200086, 53.735564)
1088,Birch,Betula occidentalis,Betula occidentalis Hook.,Betula occidentalis Hook.,NA0603,Boreal Plains,NA0603. Boreal Plains,Alberta,Alberta,c(-114.96339, 53.52272)
1089,Mint,Mentha arvensis,Mentha arvensis L.,Mentha arvensis L.,NA0603,Boreal Plains,NA0603. Boreal Plains,Alberta,Alberta,c(-114.51386, 53.26556)
1090,Bromegrass,Bromus inermis,Bromus inermis Leyss.,Bromus inermis Leyss.,NA0801,Aspen Parkland,NA0801. Aspen Parkland,Alberta,Alberta,c(-113.511667, 53.5325)
1091,Bromegrass,Bromus vulgaris,Bromus vulgaris (Hook.) Shear,Bromus vulgaris,NA0514,North Cascades,NA0514. North Cascades,British Columbia,Colombie-Britannique,c(-121.33, 49.25)
1092,Bromegrass,Bromus inermis,Bromus inermis Leyss.,Bromus inermis,NA0609,Western Taiga Shield,NA0609. Western Taiga Shield,Northwest Territories,Territoires du Nord-Ouest,c(-114.437, 62.4717)
1093,Bromegrass,Bromus inermis,Bromus inermis Leyss.,Bromus inermis,NA0602,Boreal Cordillera,NA0602. Boreal Cordillera,Yukon,Yukon,c(-128.8, 60.12)
1094,Bromegrass,Bromus inermis,Bromus inermis Leyss.,Bromus inermis,NA0604,Boreal Shield,NA0604. Boreal Shield,Newfoundland and Labrador,Terre-Neuve-et-Labrador,c(-60.38, 53.25)
1095,Bromegrass,Bromus inermis,Bromus inermis Leyss.,Bromus inermis,NA0606,Hudson Plains,NA0606. Hudson Plains,Manitoba,Manitoba,c(-94.08, 57.75)
1096,Bromegrass,Bromus inermis,Bromus inermis Leyss.,Bromus inermis,NA0608,Taiga Plains,NA0608. Taiga Plains,Northwest Territories,Territoires du Nord-Ouest,c(-117.62, 61.35)
1097,Fescue,Festuca ovina,Festuca ovina L.,Festuca ovina,NA1103,Arctic Cordillera,NA1103. Arctic Cordillera,Nunavut,Nunavut,c(-65, 66.17)
1098,Fescue,Festuca ovina,Festuca ovina L.,Festuca ovina,NA1107,Northern Arctic,NA1107. Northern Arctic,Nunavut,Nunavut,c(-82.83, 64.25)
1099,Fescue,Festuca ovina,Festuca ovina L.,Festuca ovina,NA0605,Eastern Taiga Shield,NA0605. Eastern Taiga Shield,Quebec,Quebec,c(-68.38, 58.12)
1100,Fescue,Festuca ovina,Festuca ovina L.,Festuca ovina,NA1108,Southern Arctic,NA1108. Southern Arctic,Quebec,Quebec,c(-71.9683, 61.5919)
1101,Fescue,Festuca ovina,Festuca ovina L.,Festuca ovina,NA0603,Boreal Plains,NA0603. Boreal Plains,Alberta,Alberta,c(-113.933, 58.9)
1102,Fescue,Festuca subulata,Festuca subulata Trin.,Festuca subulata,NA0517,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,NA0517. Willamette Valley - Puget Trough - Georgia Basin,British Columbia,Colombie-Britannique,c(-121.917, 49.083)
1103,Fescue,Festuca ovina,Festuca ovina L.,Festuca ovina,NA1107,Northern Arctic,NA1107. Northern Arctic,Quebec,Quebec,c(-75.47, 62.25)
