CROP,CROP WILD RELATIVE,GENEPOOL,GRAFTSTOCK,TRAIT,ONTOLOGY,BREEDING TYPE
Sunflower,Helianthus laevigatus Torr. & A. Gray,Tertiary,,Biotic,,Disease Resistance (B)
Sunflower,Helianthus laevigatus Torr. & A. Gray,Tertiary,,Fertility,,Cytoplasmic Male Sterility (F)
Sunflower,Helianthus longifolius Pursh,Tertiary,,,,
Sunflower,Helianthus microcephalus Torr. & A. Gray,Tertiary,,Biotic,,Disease Resistance (B)
Sunflower,Helianthus microcephalus Torr. & A. Gray,Tertiary,,Fertility,,Cytoplasmic Male Sterility (F)
Sunflower,Helianthus niveus (Benth.) Brandegee,Secondary,,Agronomic,,Crop Quality (AG)
Sunflower,Helianthus niveus (Benth.) Brandegee,Secondary,,Biotic,,Disease Resistance (B)
Sunflower,Helianthus niveus (Benth.) Brandegee subsp. canescens (A. Gray) Heiser,Secondary,,Abiotic,,Drought Resistance (AB)
Sunflower,Helianthus niveus (Benth.) Brandegee subsp. canescens (A. Gray) Heiser,Secondary,,Abiotic,,Heat Tolerance (AB)
Sunflower,Helianthus niveus (Benth.) Brandegee subsp. canescens (A. Gray) Heiser,Secondary,,Agronomic,,Crop Quality (AG)
Sunflower,Helianthus niveus (Benth.) Brandegee subsp. tephrodes (A. Gray) Heiser,Secondary,,Abiotic,,Drought Resistance (AB)
Sunflower,Helianthus niveus (Benth.) Brandegee subsp. tephrodes (A. Gray) Heiser,Secondary,,Abiotic,,Heat Tolerance (AB)
Sunflower,Helianthus occidentalis Riddell subsp. plantagineus (Torr. & A. Gray) Heiser,Tertiary,,,,
Sunflower,Helianthus paradoxus Heiser,Secondary,,Abiotic,,Salt Tolerance (AB)
Sunflower,Helianthus paradoxus Heiser,Secondary,,Biotic,,Disease Resistance (B)
Sunflower,Helianthus paradoxus Heiser,Secondary,,Fertility,,Cytoplasmic Male Sterility (F)
Sunflower,Helianthus petiolaris Nutt. subsp. fallax Heiser,Secondary,,Fertility,,Cytoplasmic Male Sterility (F)
Sunflower,Helianthus porteri (A. Gray) Pruski,Tertiary,,Agronomic,,Crop Quality (AG)
Sunflower,Helianthus porteri (A. Gray) Pruski,Tertiary,,Agronomic,,High Yield (AG)
Sunflower,Helianthus praecox Engelm. & A. Gray subsp. hirtus (Heiser) Heiser,Secondary,,Abiotic,,Heat Tolerance (AB)
Sunflower,Helianthus praecox Engelm. & A. Gray subsp. hirtus (Heiser) Heiser,Secondary,,Fertility,,Cytoplasmic Male Sterility (F)
Sunflower,Helianthus praecox Engelm. & A. Gray subsp. runyonii (Heiser) Heiser,Secondary,,Fertility,,Cytoplasmic Male Sterility (F)
Sunflower,Helianthus radula (Pursh) Torr. & A. Gray,Tertiary,,Agronomic,,Crop Quality (AG)
Sunflower,Helianthus resinosus Small,Tertiary,,Abiotic,,Edaphic (AB)
Sunflower,Helianthus resinosus Small,Tertiary,,Abiotic,,Waterlogging Tolerance (AB)
Sunflower,Helianthus resinosus Small,Tertiary,,Agronomic,,Crop Quality (AG)
Sunflower,Helianthus resinosus Small,Tertiary,,Biotic,,Disease Resistance (B)
Sunflower,Helianthus resinosus Small,Tertiary,,Fertility,,Cytoplasmic Male Sterility (F)
Sunflower,Helianthus resinosus Small,Tertiary,,Fertility,,Gene Transfer (F)
Sunflower,Helianthus schweinitzii Torr. & A. Gray,Tertiary,,Biotic,,Disease Resistance (B)
Sunflower,Helianthus silphioides Nutt.,Tertiary,,Abiotic,,Edaphic (AB)
Sunflower,Helianthus silphioides Nutt.,Tertiary,,Agronomic,,Crop Quality (AG)
Sunflower,Helianthus simulans E. Watson,Tertiary,,Biotic,,Disease Resistance (B)
Sunflower,Helianthus simulans E. Watson,Tertiary,,Biotic,,Pest Resistance (B)
Sunflower,Helianthus simulans E. Watson,Tertiary,,Fertility,,Gene Transfer (F)
Sunflower,Helianthus smithii Heiser,Tertiary,,Biotic,,Disease Resistance (B)
Sunflower,Helianthus smithii Heiser,Tertiary,,Biotic,,Pest Resistance (B)
Sunflower,Helianthus smithii Heiser,Tertiary,,Fertility,,Cytoplasmic Male Sterility (F)
Sunflower,Helianthus debilis Nutt. subsp. debilis,Secondary,,Abiotic,,Heat Tolerance (AB)
Sunflower,Helianthus debilis Nutt. subsp. debilis,Secondary,,Abiotic,,Waterlogging Tolerance (AB)
Sunflower,Helianthus debilis Nutt. subsp. debilis,Secondary,,Biotic,,Disease Resistance (B)
Sunflower,Helianthus petiolaris Nutt. subsp. petiolaris,Secondary,,Abiotic,,Cold Tolerance (AB)
Sunflower,Helianthus petiolaris Nutt. subsp. petiolaris,Secondary,,Biotic,,Disease Resistance (B)
Sunflower,Helianthus praecox Engelm. & A. Gray subsp. praecox,Secondary,,,,
Sunflower,Helianthus pauciflorus Nutt.,Tertiary,,Agronomic,,Crop Quality (AG)
Sunflower,Helianthus pauciflorus Nutt.,Tertiary,,Biotic,,Disease Resistance (B)
Sunflower,Helianthus pauciflorus Nutt.,Tertiary,,Biotic,,Pest Resistance (B)
Sunflower,Helianthus pauciflorus Nutt.,Tertiary,,Fertility,,Cytoplasmic Male Sterility (F)
Sunflower,Helianthus pauciflorus Nutt. subsp. pauciflorus,Tertiary,,Agronomic,,Crop Quality (AG)
Sunflower,Helianthus pauciflorus Nutt. subsp. pauciflorus,Tertiary,,Biotic,,Disease Resistance (B)
Sunflower,Helianthus pauciflorus Nutt. subsp. pauciflorus,Tertiary,,Phenological,,Early Maturity (P)
Sunflower,Helianthus pauciflorus Nutt. subsp. subrhomboideus (Rydb.) O. Spring & E. E. Schill.,Tertiary,,Abiotic,,Cold Tolerance (AB)
Sunflower,Helianthus pauciflorus Nutt. subsp. subrhomboideus (Rydb.) O. Spring & E. E. Schill.,Tertiary,,Fertility,,Cytoplasmic Male Sterility (F)
Sunflower,Helianthus occidentalis Riddell subsp. occidentalis,Tertiary,,,,
Sunflower,Helianthus verticillatus Small,Tertiary,,,,
Sunflower,Helianthus winteri J. C. Stebbins,Primary,,Abiotic,,Heat Tolerance (AB)
Sunflower,Helianthus inexpectatus D. J. Keil & Elvin,Tertiary,,,,
Sweet-Potato,Ipomoea littoralis Blume,ProbProg,,,,
Sweet-Potato,Ipomoea littoralis Blume,Secondary,,Abiotic,,Drought Resistance (AB)
Sweet-Potato,Ipomoea littoralis Blume,Secondary,,Abiotic,,Edaphic (AB)
Sweet-Potato,Ipomoea littoralis Blume,Secondary,,Abiotic,,Heat Tolerance (AB)
Sweet-Potato,Ipomoea littoralis Blume,Secondary,,Agronomic,,High Yield (AG)
Sweet-Potato,Ipomoea littoralis Blume,Secondary,,Biotic,,Disease Resistance (B)
Sweet-Potato,Ipomoea lacunosa L.,Tertiary,,Abiotic,,Cold Tolerance (AB)
Sweet-Potato,Ipomoea lacunosa L.,Tertiary,,Abiotic,,Drought Resistance (AB)
Sweet-Potato,Ipomoea leucantha Jacq.,Tertiary,,Abiotic,,Drought Resistance (AB)
Sweet-Potato,Ipomoea leucantha Jacq.,Tertiary,,Abiotic,,Edaphic (AB)
Sweet-Potato,Ipomoea leucantha Jacq.,Tertiary,,Abiotic,,Heat Tolerance (AB)
Sweet-Potato,Ipomoea tiliacea (Willd.) Choisy,Tertiary,,Abiotic,,Edaphic (AB)
Sweet-Potato,Ipomoea tiliacea (Willd.) Choisy,Tertiary,,Abiotic,,Heat Tolerance (AB)
Sweet-Potato,Ipomoea cordatotriloba Dennst.,Tertiary,,Abiotic,,Cold Tolerance (AB)
Sweet-Potato,Ipomoea cordatotriloba Dennst.,Tertiary,,Abiotic,,Edaphic (AB)
Sweet-Potato,Ipomoea tenuissima Choisy,ProbProg,,,,
Sweet-Potato,Ipomoea tenuissima Choisy,Tertiary,,Abiotic,,Cold Tolerance (AB)
Sweet-Potato,Ipomoea tenuissima Choisy,Tertiary,,Abiotic,,Edaphic (AB)
Sweet-Potato,Ipomoea tenuissima Choisy,Tertiary,,Abiotic,,Heat Tolerance (AB)
Sweet-Potato,Ipomoea cordatotriloba Dennst. var. cordatotriloba,Tertiary,,,,
Sweet-Potato,Ipomoea cordatotriloba Dennst. var. torreyana (A. Gray) D. F. Austin,Tertiary,,,,
Teff,Eragrostis pilosa (L.) P. Beauv.,Primary,,,,
Tobacco,Nicotiana quadrivalvis Pursh,Tertiary,,,,
Tobacco,Nicotiana attenuata Torr. ex S. Watson,Tertiary,,,,
Tobacco,Nicotiana repanda Willd. ex Lehm.,Tertiary,,Biotic,,Disease Resistance (B)
Tobacco,Nicotiana repanda Willd. ex Lehm.,Tertiary,,Biotic,,Pest Resistance (B)
Tobacco,Nicotiana repanda Willd. ex Lehm.,Tertiary,,Fertility,,Cytoplasmic Male Sterility (F)
Tobacco,Nicotiana clevelandii A. Gray,Tertiary,,,,
Tobacco,Nicotiana obtusifolia M. Martens & Galeotti,Tertiary,,,,
Tomatillo,Physalis pubescens L.,Tertiary,,,,
Vanilla,Vanilla planifolia Andrews,,,,,
Vanilla,Vanilla planifolia Andrews,Primary,,,,
Vanilla,Vanilla phaeantha Rchb. f.,Secondary,,Biotic,,Disease Resistance (B)
"Walnut, Black",Juglans californica S. Watson,Secondary,,,,
"Walnut, Black",Juglans cinerea L.,Tertiary,,,,
"Walnut, Black",Juglans hindsii (Jeps.) R. E. Sm.,Secondary,,,,
"Walnut, Black",Juglans nigra L.,,,,,
"Walnut, Black",Juglans nigra L.,Primary,,,,
"Walnut, Black",Juglans major (Torr.) A. Heller,Progenitor,Graftstock,,,
"Walnut, Black",Juglans major (Torr.) A. Heller,Secondary,,Agronomic,,Crop Quality (AG)
"Walnut, Black",Juglans microcarpa Berland.,Secondary,,,,
"Walnut, Black",Juglans microcarpa Berland. var. microcarpa,Secondary,,,,
"Walnut, English",Juglans californica S. Watson,Progenitor,Graftstock,,,
"Walnut, English",Juglans californica S. Watson,Tertiary,,,,
"Walnut, English",Juglans cinerea L.,Tertiary,,Abiotic,,Cold Tolerance (AB)
"Walnut, English",Juglans hindsii (Jeps.) R. E. Sm.,,Graftstock,Abiotic,,Drought Resistance (AB)
"Walnut, English",Juglans hindsii (Jeps.) R. E. Sm.,,Graftstock,Abiotic,,Waterlogging Tolerance (AB)
"Walnut, English",Juglans hindsii (Jeps.) R. E. Sm.,,Graftstock,Biotic,,Disease Resistance (B)
"Walnut, English",Juglans hindsii (Jeps.) R. E. Sm.,Progenitor,Graftstock,,,
"Walnut, English",Juglans hindsii (Jeps.) R. E. Sm.,Tertiary,,Biotic,,Disease Resistance (B)
"Walnut, English",Juglans jamaicensis C. DC.,Tertiary,,,,
"Walnut, English",Juglans nigra L.,Progenitor,Graftstock,,,
"Walnut, English",Juglans nigra L.,Tertiary,,Biotic,,Disease Resistance (B)
"Walnut, English",Juglans major (Torr.) A. Heller,Tertiary,,,,
"Walnut, English",Juglans microcarpa Berland.,,Graftstock,Biotic,,Disease Resistance (B)
"Walnut, English",Juglans microcarpa Berland.,Tertiary,,,,
"Walnut, English",Juglans major (Torr.) A. Heller var. major,Tertiary,,,,
"Walnut, English",Juglans microcarpa Berland. var. microcarpa,Tertiary,,,,
"Walnut, Japanese",Juglans nigra L.,Secondary,,Biotic,,Disease Resistance (B)
Wheat,Elymus canadensis L.,Tertiary,,,,
Wheat,Elymus glaucus Buckley,Tertiary,,,,
Wheat,Elymus virginicus L.,Tertiary,,,,
Wheat,Leymus mollis (Trin.) Pilg.,Tertiary,,Abiotic,,Drought Resistance (AB)
Wheat,Leymus mollis (Trin.) Pilg.,Tertiary,,Abiotic,,Heat Tolerance (AB)
Wheat,Leymus mollis (Trin.) Pilg.,Tertiary,,Abiotic,,Salt Tolerance (AB)
Wheat,Leymus mollis (Trin.) Pilg.,Tertiary,,Biotic,,Disease Resistance (B)
Wheat,Leymus innovatus (Beal) Pilg.,Tertiary,,,,
Wheat,Leymus triticoides (Buckley) Pilg.,Tertiary,,Abiotic,,Salt Tolerance (AB)
Wheat,Leymus pacificus (Gould) D. R. Dewey,Tertiary,,,,
Wheat,Leymus salina (M. E. Jones) Á. Löve,Tertiary,,,,
Wheat,Leymus condensatus (J. Presl) Á. Löve,Tertiary,,,,
Wheat,Leymus cinereus (Scribn. & Merr.) Á. Löve,Tertiary,,,,
Wheat,Elymus elymoides (Raf.) Swezey,Tertiary,,,,
Wheat,Elymus hystrix L.,Tertiary,,,,
Wheat,Elymus trachycaulus (Link) Gould ex Shinners,Tertiary,,Biotic,,Disease Resistance (B)
Wheat,Elymus macrourus (Turcz. ex Steud.) Tzvelev,Tertiary,,,,
Wheat,Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus,Tertiary,,,,
Wheat,Elymus arizonicus (Scribn. & J. G. Sm.) Gould,Tertiary,,,,
Wheat,Elymus bakeri (E. E. Nelson) Á. Löve,Tertiary,,,,
Wheat,Elymus curvatus Piper,Tertiary,,,,
Wheat,Elymus interruptus Buckley,Tertiary,,,,
Wheat,Elymus lanceolatus (Scribn. & J. G. Sm.) Gould,Tertiary,,,,
Wheat,Elymus scribneri (Vasey) M. E. Jones,Tertiary,,,,
Wheat,Elymus sierrae Gould,Tertiary,,,,
Wheat,Elymus wiegandii Fernald,Tertiary,,,,
Wheat,Leymus ambiguus (Vasey & Scribn.) D. R. Dewey,Tertiary,,,,
Wheat,Leymus salina (M. E. Jones) Á. Löve subsp. mojavensis Barkworth & R. J. Atkins,Tertiary,,,,
Wheat,Elymus trachycaulus (Link) Gould ex Shinners subsp. subsecundus (Link) Á. Löve & D. Löve,Tertiary,,,,
Wheat,Elymus lanceolatus (Scribn. & J. G. Sm.) Gould subsp. lanceolatus,Tertiary,,,,
Wheat,Leymus salina (M. E. Jones) Á. Löve subsp. salina,Tertiary,,,,
Wheat,Leymus salina (M. E. Jones) Á. Löve subsp. salmonis (C. L. Hitchc.) R. J. Atkins,Tertiary,,,,
Wheat,Leymus simplex (Scribn. & T. A. Williams) D. R. Dewey,Tertiary,,,,
Wheat,Leymus flavescens (Scribn. & J. G. Sm.) Pilg.,Tertiary,,,,
Wheat,Elymus glaucus Buckley subsp. glaucus,Tertiary,,,,
Wheat,Elymus wawawaiensis J. R. Carlson & Barkworth,Tertiary,,,,
Wheat,Elymus lanceolatus (Scribn. & J. G. Sm.) Gould subsp. psammophilus (J. M. Gillett & H. Senn) Á. Löve,Tertiary,,,,
Wheat,Elymus elymoides (Raf.) Swezey subsp. elymoides,Tertiary,,,,
Wheat,Elymus elymoides (Raf.) Swezey subsp. brevifolius (J. G. Sm.) Barkworth,Tertiary,,,,
Wheat,Elymus elymoides (Raf.) Swezey subsp. californicus (J. G. Sm.) Barkworth,Tertiary,,,,
Wheat,Elymus elymoides (Raf.) Swezey subsp. hordeoides (Suksd.) Barkworth,Tertiary,,,,
Wheat,Elymus multisetus (J. G. Sm.) Burtt Davy,Tertiary,,,,
Wheat,Elymus glaucus Buckley subsp. virescens (Piper) Gould,Tertiary,,,,
Wheat,Leymus ajanensis (V. N. Vassil.) Tzvelev,Tertiary,,,,
Wheat,Elymus lanceolatus (Scribn. & J. G. Sm.) Gould subsp. riparius (Scribn. & J. G. Sm.) Barkworth,Tertiary,,,,
Wheat,Leymus californicus (Bol. ex Thurb.) Barkworth,Tertiary,,,,
Wheat,Elymus macgregorii R. E. Brooks & J. J. N. Campb.,Tertiary,,,,
Wheat,Elymus glabriflorus (Vasey ex L. H. Dewey) Scribn. & C. R. Ball,Tertiary,,,,
Wheat,Elymus riparius Wiegand,Tertiary,,,,
Wheat,Elymus glaucus Buckley subsp. mackenziei (Bush) J. J. N. Campb.,Tertiary,,,,
Wheat,Elymus hirsutus J. Presl,Tertiary,,,,
Wheat,Elymus violaceus (Hornem.) Feilberg,Tertiary,,,,
Wheat,Elymus albicans (Scribn. & J. G. Sm.) Á. Löve,Tertiary,,,,
Wheat,Leymus mollis (Trin.) Pilg. subsp. mollis,Tertiary,,,,
Wheat,Leymus mollis (Trin.) Pilg. subsp. villosissimus (Scribn.) Á. Löve & D. Löve,Tertiary,,,,
Wheat,Elymus alaskanus (Scribn. & Merr.) Á. Löve,Tertiary,,,,
Wheat,Elymus glabriflorus (Vasey ex L. H. Dewey) Scribn. & C. R. Ball var. australis (Scribn. & C. R. Ball) J. J. N. Campb.,Tertiary,,,,
Wheat,Elymus glabriflorus (Vasey ex L. H. Dewey) Scribn. & C. R. Ball var. glabriflorus,Tertiary,,,,
Wheat,Elymus stebbinsii Gould,Tertiary,,,,
Wheat,Elymus stebbinsii Gould subsp. septentrionalis Barkworth,Tertiary,,,,
Wheat,Elymus stebbinsii Gould subsp. stebbinsii,Tertiary,,,,
Witch-Hazel,Hamamelis virginiana L.,,Graftstock,,,
Yerba Mate,Ilex repanda Griseb.,Tertiary,,,,
