"","CROP","CROP.WILD.RELATIVE","GENEPOOL","GRAFTSTOCK","TRAIT","ONTOLOGY","BREEDING.TYPE"
"1","Amaranth, Purple","Amaranthus hybridus L.","Tertiary","","",NA,""
"2","Amaranth, Purple","Amaranthus retroflexus L.","Secondary","","",NA,""
"3","Apple","Malus coronaria (L.) Mill.","Tertiary","","",NA,""
"4","Apple","Malus fusca (Raf.) C. K. Schneid.","","Graftstock","Abiotic",NA,"Waterlogging Tolerance (AB)"
"8","Apricot","Prunus americana Marshall","Progenitor","Graftstock","",NA,""
"10","Apricot","Prunus maritima Marshall","Tertiary","","",NA,""
"11","Apricot","Prunus nigra Aiton","Tertiary","","",NA,""
"12","Apricot","Prunus pumila L.","Tertiary","","",NA,""
"13","Apricot","Prunus pumila L. var. besseyi (L. H. Bailey) Waugh","Progenitor","Graftstock","",NA,""
"15","Barley","Hordeum brachyantherum Nevski","Tertiary","","",NA,""
"16","Barley","Hordeum depressum (Scribn. & J. G. Sm.) Rydb.","Tertiary","","",NA,""
"17","Barley","Hordeum jubatum L.","Tertiary","","Abiotic",NA,"Salt Tolerance (AB)"
"18","Barley","Hordeum pusillum Nutt.","Tertiary","","",NA,""
"19","Barley","Leymus mollis (Trin.) Pilg.","Tertiary","","Biotic",NA,"Disease Resistance (B)"
"20","Barley","Hordeum brachyantherum Nevski subsp. brachyantherum","Tertiary","","",NA,""
"21","Barley","Hordeum jubatum L. subsp. jubatum","Tertiary","","",NA,""
"22","Barley","Hordeum jubatum L. subsp. intermedium Bowden","Tertiary","","",NA,""
"23","Bilberry","Vaccinium cespitosum Michx.","Primary","","",NA,""
"24","Bilberry","Vaccinium corymbosum L.","Tertiary","","",NA,""
"25","Bilberry","Vaccinium deliciosum Piper","Secondary","","",NA,""
"26","Bilberry","Vaccinium membranaceum Douglas ex Torr.","Secondary","","",NA,""
"27","Bilberry","Vaccinium myrtillus L.","","","",NA,""
"30","Bilberry","Vaccinium ovalifolium Sm.","Secondary","","",NA,""
"31","Bilberry","Vaccinium parvifolium Sm.","Secondary","","",NA,""
"32","Bilberry","Vaccinium scoparium Leiberg ex Coville","Secondary","","",NA,""
"33","Bilberry","Vaccinium vitis-idaea L.","Secondary","","",NA,""
"34","Blackberry","Rubus allegheniensis Porter","Primary","","Agronomic",NA,"Crop Quality (AG)"
"36","Blackberry","Rubus canadensis L.","Primary","","Agronomic",NA,"Crop Quality (AG)"
"37","Blackberry","Rubus ursinus Cham. & Schltdl.","Primary","","Agronomic",NA,"Crop Quality (AG)"
"40","Blackberry","Rubus frondosus Bigelow","Primary","","Abiotic",NA,"Heat Tolerance (AB)"
"43","Blanket-Flower","Gaillardia aristata Pursh","Progenitor","","Agronomic",NA,"Ornamental Features (AG)"
"44","Bleeding-Heart","Dicentra formosa (Andrews) Walp.","Progenitor","","Agronomic",NA,"Ornamental Features (AG)"
"45","Blueberry, Highbush","Vaccinium angustifolium Aiton","Primary","","Agronomic",NA,"Crop Quality (AG)"
"52","Blueberry, Highbush","Vaccinium fuscatum Aiton","Secondary","","Abiotic",NA,"Cold Tolerance (AB)"
