"","CROP","CROP.WILD.RELATIVE","GENEPOOL","GRAFTSTOCK","TRAIT","ONTOLOGY","BREEDING.TYPE"
"54","Blueberry, Highbush","Vaccinium myrtilloides Michx.","Tertiary","","",NA,""
"57","Blueberry, Highbush","Vaccinium ovatum Pursh","Tertiary","","",NA,""
"58","Blueberry, Highbush","Vaccinium pallidum Aiton","Secondary","","Abiotic",NA,"Drought Resistance (AB)"
"64","Blueberry, Highbush","Vaccinium uliginosum L.","Tertiary","","Abiotic",NA,"Cold Tolerance (AB)"
"65","Blueberry, Highbush","Vaccinium boreale I. V. Hall & Aalders","Secondary","","Abiotic",NA,"Cold Tolerance (AB)"
"79","Bluejoint","Calamagrostis canadensis (Michx.) P. Beauv.","","","",NA,""
"80","Bromegrass","Bromus carinatus Hook. & Arn. var. marginatus (Steud.) Barkworth & Anderton","Secondary","","Biotic",NA,"Disease Resistance (B)"
"81","Butternut","Juglans cinerea L.","","","",NA,""
"82","Carrot","Daucus pusillus Michx.","Tertiary","","",NA,""
"83","Cherry, Ornamental","Prunus virginiana L.","Tertiary","","Biotic",NA,"Disease Resistance (B)"
"84","Cherry, Sour","Prunus pensylvanica L. f.","Progenitor","Graftstock","Agronomic",NA,"Cold Tolerance (AB)"
"86","Cherry, Sweet","Prunus emarginata (Douglas) Eaton","","Graftstock","",NA,""
"88","Cherry, Sweet","Prunus serotina Ehrh.","Tertiary","","Abiotic",NA,"Cold Tolerance (AB)"
"90","Chestnut","Castanea dentata (Marshall) Borkh.","Secondary","","",NA,""
"95","Cranberry","Vaccinium macrocarpon Aiton","","","",NA,""
"97","Cranberry","Vaccinium oxycoccos L.","Secondary","","Agronomic",NA,"Crop Quality (AG)"
"98","Cranberry","Vaccinium microcarpum (Turcz. ex Rupr.) Schmalh.","Primary","","Abiotic",NA,"Cold Tolerance (AB)"
"99","Currant, Black","Ribes americanum Mill.","Secondary","","Biotic",NA,"Disease Resistance (B)"
"100","Currant, Black","Ribes aureum Pursh","Tertiary","","",NA,""
"101","Currant, Black","Ribes cereum Douglas","Tertiary","","",NA,""
"102","Currant, Black","Ribes divaricatum Douglas","","Graftstock","",NA,""
"104","Currant, Black","Ribes hudsonianum Richardson","Secondary","","Agronomic",NA,"Crop Quality (AG)"
"105","Currant, Black","Ribes oxyacanthoides L.","Tertiary","","",NA,""
"106","Currant, Black","Ribes sanguineum Pursh","Secondary","","Agronomic",NA,"Growth Habit (AG)"
"107","Currant, Black","Ribes bracteosum Douglas","Secondary","","Agronomic",NA,"Growth Habit (AG)"
"110","Currant, Black","Ribes hudsonianum Richardson var. petiolare (Douglas) Jancz.","Secondary","","Biotic",NA,"Disease Resistance (B)"
"111","Currant, Black","Ribes hudsonianum Richardson var. hudsonianum","Secondary","","",NA,""
"113","Currant, Red","Ribes triste Pall.","Tertiary","","Abiotic",NA,"Cold Tolerance (AB)"
"114","Fawn-Lily","Erythronium oregonum Applegate","Progenitor","","Agronomic",NA,"Ornamental Features (AG)"
"115","Filbert, European","Corylus cornuta Marshall","Tertiary","","Biotic",NA,"Disease Resistance (B)"
"116","Filbert, European","Corylus americana Marshall","Secondary","","Biotic",NA,"Disease Resistance (B)"
"118","Filbert, European","Corylus californica (A. DC.) Rose","Secondary","","Fertility",NA,"Gene Transfer (F)"
"120","Flax","Linum lewisii Pursh","Tertiary","","",NA,""
"122","Gooseberry","Ribes cynosbati L.","Secondary","","Agronomic",NA,"Crop Quality (AG)"
"128","Gooseberry","Ribes hirtellum Michx.","Progenitor","","",NA,""
"130","Gooseberry","Ribes inerme Rydb.","Secondary","","Agronomic",NA,"Growth Habit (AG)"
"132","Gooseberry","Ribes oxyacanthoides L. subsp. irriguum (Douglas) Q. P. Sinnott","Secondary","","",NA,""
"133","Gooseberry","Ribes oxyacanthoides L. subsp. setosum (Lindl.) Q. P. Sinnott","Secondary","","",NA,""
"134","Gooseberry","Ribes oxyacanthoides L. subsp. oxyacanthoides","Progenitor","","",NA,""
"136","Gooseberry","Ribes oxyacanthoides L. subsp. cognatum (Greene) Q. P. Sinnott","Secondary","","",NA,""
"137","Grape, Wine","Vitis riparia Michx.","","Graftstock","",NA,""
"142","Grape, Wine","Vitis aestivalis Michx.","","Graftstock","Biotic",NA,"Disease Resistance (B)"
"146","Grape, Wine","Vitis aestivalis Michx. var. bicolor Deam","Tertiary","","",NA,""
"147","Grass, Switch","Panicum virgatum L.","","","",NA,""
"148","Hackberry, Ornamental","Celtis occidentalis L.","","Graftstock","",NA,""
"149","Heal-All","Prunella vulgaris L.","","","",NA,""
"150","Hop","Humulus lupulus L.","","","",NA,""
"151","Hop","Humulus lupulus L. var. neomexicanus A. Nelson & Cockerell","Primary","","",NA,""
"152","Hop","Humulus lupulus L. var. lupuloides E. Small","Primary","","Agronomic",NA,"Crop Quality (AG)"
"157","Jerusalem-Artichoke","Helianthus hirsutus Raf.","Progenitor","","",NA,""
"159","Jerusalem-Artichoke","Helianthus strumosus L.","Tertiary","","",NA,""
"160","Jerusalem-Artichoke","Helianthus tuberosus L.","","","",NA,""
"161","Jerusalem-Artichoke","Helianthus divaricatus L.","Tertiary","","",NA,""
"162","Leek","Allium schoenoprasum L.","Tertiary","","",NA,""
"163","Lettuce","Lactuca tatarica (L.) C. A. Mey.","Tertiary","","",NA,""
"164","Lettuce","Lactuca tatarica (L.) C. A. Mey. subsp. pulchella (Pursh) Stebbins","Tertiary","","",NA,""
"165","Lily, Water-","Nymphaea tetragona Georgi","Progenitor","","Agronomic",NA,"Ornamental Features (AG)"
"170","Lupin","Lupinus polyphyllus Lindl.","Progenitor","","Agronomic",NA,"Ornamental Features (AG)"
"175","Magnolia","Magnolia acuminata (L.) L.","Progenitor","","Agronomic",NA,"Ornamental Features (AG)"
"177","Millet, Proso","Panicum capillare L.","ProbProg","","",NA,""
"179","Mint, Corn","Mentha canadensis L.","Secondary","","",NA,""
"182","Mint, Mountain-","Pycnanthemum virginianum (L.) T. Durand & B. D. Jacks. ex B. L. Rob. & Fernald","","","",NA,""
"195","Pecan","Carya glabra (Mill.) Sweet","Secondary","","",NA,""
"196","Pecan","Carya laciniosa (F. Michx.) W. P. C. Barton","Primary","","",NA,""
"197","Pecan","Carya ovata (Mill.) K. Koch","Primary","","",NA,""
"198","Pecan","Carya cordiformis (Wangenh.) K. Koch","Primary","","",NA,""
"199","Pecan","Carya ovalis (Wangenh.) Sarg.","Secondary","","",NA,""
"221","Quinoa","Chenopodium berlandieri Moq.","Secondary","","",NA,""
"222","Quinoa","Chenopodium berlandieri Moq. subsp. berlandieri var. bushianum (Aellen) Cronquist","Secondary","","",NA,""
"223","Quinoa","Chenopodium berlandieri Moq. subsp. berlandieri var. macrocalycium (Aellen) Cronquist","Secondary","","",NA,""
"224","Quinoa","Chenopodium berlandieri Moq. subsp. berlandieri var. zschackei (Murr) Murr","Secondary","","",NA,""
"225","Quinoa","Chenopodium desiccatum A. Nelson","Tertiary","","",NA,""
"226","Quinoa","Chenopodium watsonii A. Nelson","Tertiary","","",NA,""
"227","Quinoa","Chenopodium standleyanum Aellen","Tertiary","","",NA,""
"228","Quinoa","Chenopodium hians Standl.","Tertiary","","",NA,""
"229","Raspberry, Black","Rubus leucodermis Douglas ex Torr. & A. Gray","Primary","","",NA,""
"230","Raspberry, Black","Rubus occidentalis L.","","","",NA,""
"232","Raspberry, Black","Rubus flagellaris Willd.","Secondary","","",NA,""
"233","Raspberry, Black","Rubus idaeus L.","Secondary","","",NA,""
"234","Raspberry, Red","Rubus arcticus L.","Tertiary","","Agronomic",NA,"High Yield (AG)"
"235","Raspberry, Red","Rubus chamaemorus L.","Tertiary","","",NA,""
"237","Raspberry, Red","Rubus nutkanus Moc. ex Ser.","Secondary","","",NA,""
"239","Raspberry, Red","Rubus odoratus L.","Secondary","","Agronomic",NA,"High Yield (AG)"
"241","Raspberry, Red","Rubus spectabilis Pursh","Primary","","Agronomic",NA,"Crop Quality (AG)"
"244","Raspberry, Red","Rubus idaeus L. subsp. strigosus (Michx.) Focke","","","",NA,""
"246","Rice","Zizania palustris L.","Tertiary","","",NA,""
"247","Rice, Wild","Zizania aquatica L.","Secondary","","",NA,""
"249","Rice, Wild","Zizania aquatica L. var. aquatica","Secondary","","",NA,""
"250","Rice, Wild","Zizania aquatica L. var. brevis Fassett","Secondary","","",NA,""
"251","Rice, Wild","Zizania palustris L. var. palustris","Primary","","",NA,""
"252","Rice, Wild","Zizania palustris L. var. interior (Fassett) Dore","Primary","","",NA,""
"253","Rosinweed","Silphium integrifolium Michx.","","","",NA,""
"256","Rosinweed","Silphium perfoliatum L.","","","",NA,""
"261","Spiderwort","Tradescantia virginiana L.","Progenitor","","Agronomic",NA,"Ornamental Features (AG)"
"262","Spinach","Blitum capitatum L.","Tertiary","","",NA,""
"263","Spinach","Blitum nuttallianum Schult.","Tertiary","","",NA,""
"264","Strawberry","Fragaria ×ananassa Duchesne ex Rozier","","","",NA,""
"265","Strawberry","Fragaria chiloensis (L.) Mill.","Primary","","Abiotic",NA,"Cold Tolerance (AB)"
"269","Strawberry","Fragaria vesca L.","Tertiary","","Biotic",NA,"Disease Resistance (B)"
"270","Strawberry","Fragaria virginiana Mill.","Primary","","Agronomic",NA,"Crop Quality (AG)"
"274","Strawberry","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","Primary","","",NA,""
"275","Strawberry","Fragaria virginiana Mill. subsp. glauca (S. Watson) Staudt","Primary","","",NA,""
"276","Strawberry","Fragaria vesca L. subsp. americana (Porter) Staudt","Tertiary","","",NA,""
"277","Strawberry","Fragaria virginiana Mill. subsp. platypetala (Rydb.) Staudt","Primary","","",NA,""
"278","Strawberry","Fragaria vesca L. subsp. bracteata (A. Heller) Staudt","Tertiary","","",NA,""
"279","Strawberry","Fragaria virginiana Mill. subsp. virginiana","Primary","","",NA,""
"280","Strawberry","Fragaria chiloensis (L.) Mill. subsp. lucida (E. Vilm. ex Gay) Staudt","Primary","","",NA,""
"281","Strawberry","Dasiphora fruticosa (L.) Rydb.","Tertiary","","",NA,""
"282","Strawberry","Fragaria vesca L. subsp. bracteata (A. Heller) Staudt f. bracteata (A. Heller) Staudt","Tertiary","","",NA,""
"283","Strawberry","Fragaria vesca L. subsp. bracteata (A. Heller) Staudt f. helleri (Holz.) Staudt","Tertiary","","",NA,""
"284","Strawberry","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","Primary","","",NA,""
"285","Strawberry","Comarum palustre L.","Tertiary","","",NA,""
"286","Strawberry","Drymocallis glandulosa (Lindl.) Rydb.","Tertiary","","",NA,""
"287","Sunflower","Helianthus annuus L.","","","Abiotic",NA,"Salt Tolerance (AB)"
"294","Sunflower","Helianthus decapetalus L.","Tertiary","","Biotic",NA,"Disease Resistance (B)"
"297","Sunflower","Helianthus giganteus L.","Tertiary","","Abiotic",NA,"Waterlogging Tolerance (AB)"
"311","Sunflower","Helianthus ×laetiflorus Pers.","Tertiary","","Agronomic",NA,"Crop Quality (AG)"
"315","Sunflower","Helianthus maximiliani Schrad.","Tertiary","","Abiotic",NA,"Cold Tolerance (AB)"
"319","Sunflower","Helianthus nuttallii Torr. & A. Gray","Tertiary","","Agronomic",NA,"Crop Quality (AG)"
"324","Sunflower","Helianthus petiolaris Nutt.","Secondary","","Agronomic",NA,"Crop Quality (AG)"
"345","Sunflower","Helianthus petiolaris Nutt. subsp. petiolaris","Secondary","","Abiotic",NA,"Cold Tolerance (AB)"
"347","Sunflower","Helianthus pauciflorus Nutt.","Tertiary","","Agronomic",NA,"Crop Quality (AG)"
"351","Sunflower","Helianthus pauciflorus Nutt. subsp. pauciflorus","Tertiary","","Agronomic",NA,"Crop Quality (AG)"
"354","Sunflower","Helianthus pauciflorus Nutt. subsp. subrhomboideus (Rydb.) O. Spring & E. E. Schill.","Tertiary","","Abiotic",NA,"Cold Tolerance (AB)"
"356","Tobacco","Nicotiana attenuata Torr. ex S. Watson","Tertiary","","",NA,""
"358","Walnut, Black","Juglans nigra L.","","","",NA,""
"364","Wheat","Elymus canadensis L.","Tertiary","","",NA,""
"365","Wheat","Elymus glaucus Buckley","Tertiary","","",NA,""
"366","Wheat","Elymus virginicus L.","Tertiary","","",NA,""
"371","Wheat","Leymus innovatus (Beal) Pilg.","Tertiary","","",NA,""
"372","Wheat","Leymus triticoides (Buckley) Pilg.","Tertiary","","Abiotic",NA,"Salt Tolerance (AB)"
"373","Wheat","Leymus cinereus (Scribn. & Merr.) Á. Löve","Tertiary","","",NA,""
"374","Wheat","Elymus elymoides (Raf.) Swezey","Tertiary","","",NA,""
"375","Wheat","Elymus hystrix L.","Tertiary","","",NA,""
"376","Wheat","Elymus trachycaulus (Link) Gould ex Shinners","Tertiary","","Biotic",NA,"Disease Resistance (B)"
"377","Wheat","Elymus macrourus (Turcz. ex Steud.) Tzvelev","Tertiary","","",NA,""
"378","Wheat","Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus","Tertiary","","",NA,""
"379","Wheat","Elymus curvatus Piper","Tertiary","","",NA,""
"380","Wheat","Elymus lanceolatus (Scribn. & J. G. Sm.) Gould","Tertiary","","",NA,""
"381","Wheat","Elymus scribneri (Vasey) M. E. Jones","Tertiary","","",NA,""
"382","Wheat","Elymus wiegandii Fernald","Tertiary","","",NA,""
"383","Wheat","Elymus trachycaulus (Link) Gould ex Shinners subsp. subsecundus (Link) Á. Löve & D. Löve","Tertiary","","",NA,""
"384","Wheat","Elymus lanceolatus (Scribn. & J. G. Sm.) Gould subsp. lanceolatus","Tertiary","","",NA,""
"385","Wheat","Elymus glaucus Buckley subsp. glaucus","Tertiary","","",NA,""
"386","Wheat","Elymus lanceolatus (Scribn. & J. G. Sm.) Gould subsp. psammophilus (J. M. Gillett & H. Senn) Á. Löve","Tertiary","","",NA,""
"387","Wheat","Elymus glaucus Buckley subsp. virescens (Piper) Gould","Tertiary","","",NA,""
"388","Wheat","Elymus lanceolatus (Scribn. & J. G. Sm.) Gould subsp. riparius (Scribn. & J. G. Sm.) Barkworth","Tertiary","","",NA,""
"389","Wheat","Elymus riparius Wiegand","Tertiary","","",NA,""
"390","Wheat","Elymus hirsutus J. Presl","Tertiary","","",NA,""
"391","Wheat","Elymus violaceus (Hornem.) Feilberg","Tertiary","","",NA,""
"392","Wheat","Elymus albicans (Scribn. & J. G. Sm.) Á. Löve","Tertiary","","",NA,""
"393","Wheat","Leymus mollis (Trin.) Pilg. subsp. mollis","Tertiary","","",NA,""
"394","Wheat","Leymus mollis (Trin.) Pilg. subsp. villosissimus (Scribn.) Á. Löve & D. Löve","Tertiary","","",NA,""
"395","Wheat","Elymus alaskanus (Scribn. & Merr.) Á. Löve","Tertiary","","",NA,""
"396","Witch-Hazel","Hamamelis virginiana L.","","Graftstock","",NA,""
