Taxon,Family,Genus,species,rank 1,infraspecific 1,rank 2,infraspecific 2,Taxon 2019 final without ranks,Taxon_Khouryetal (2013),Taxon_GRIN Global_2019,CWR_WUS_common_name,Type,Priority 2013,Category 2019 very general,Category 2019 general,Category 2019,Category 2019 confirmed,GRIN Global CWR Primary,GRIN Global CWR Secondary,GRIN Global CWR Tertiary,GRIN Global CWR Graftstock,In GRIN Global  CWR 2019,For ex situ gap analysis,For in situ gap analysis,Note on relation 2019,Relation_to_crop_2013,GP_TG_2013,GP_TG_citation_2013,Occurrence general,Occurrence specific,Distribution_states,Nox_weed,Occurrence_notes,CWR_WUS_citation,Type,Associated_crop_taxon,Associated_crop_common name,Crop or WUS use_very general,Crop or WUS use_general,Crop or WUS use_1,Crop or WUS use_2,Crop or WUS use_3
Fragaria cascadensis,Rosaceae,Fragaria,cascadensis,,,,,Fragaria cascadensis,,Fragaria cascadensis,,CWR,,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,,,,Native,Native,,,,,CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria chiloensis,Rosaceae,Fragaria,chiloensis,,,,,Fragaria chiloensis,Fragaria chiloensis,Fragaria chiloensis,,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,,Close,GP(1B),Wiersema (1999); Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria chiloensis subsp. lucida,Rosaceae,Fragaria,chiloensis,subsp.,lucida,,,Fragaria chiloensis lucida,Fragaria chiloensis subsp. lucida,Fragaria chiloensis subsp. lucida,,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,,Close,GP(1B),Wiersema (1999); Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria chiloensis subsp. pacifica,Rosaceae,Fragaria,chiloensis,subsp.,pacifica,,,Fragaria chiloensis pacifica,Fragaria chiloensis subsp. pacifica,Fragaria chiloensis subsp. pacifica,,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,,Close,GP(1B),Wiersema (1999); Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria chiloensis subsp. sandwicensis,Rosaceae,Fragaria,chiloensis,subsp.,sandwicensis,,,Fragaria chiloensis sandwicensis,Fragaria chiloensis subsp. sandwicensis,Fragaria chiloensis subsp. sandwicensis,,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,,Close,GP(1B),Wiersema (1999); Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria vesca,Rosaceae,Fragaria,vesca,,,,,Fragaria vesca,Fragaria vesca,Fragaria vesca,,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),GRIN CWR Database (2010); Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria vesca f. albida,Rosaceae,Fragaria,vesca,f.,albida,,,Fragaria vesca albida,Fragaria vesca f. albida,Fragaria vesca f. albida,,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),Harlan and de Wet CWR Database (2012),Native,Native,,,,Khoury et al. (2012) Crop prioritization method,CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria vesca f. bracteata,Rosaceae,Fragaria,vesca,f.,bracteata,,,Fragaria vesca bracteata,Fragaria vesca f. bracteata,Fragaria vesca f. bracteata,,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),Harlan and de Wet CWR Database (2012),Native,Native,,,,Khoury et al. (2012) Crop prioritization method,CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria vesca f. helleri,Rosaceae,Fragaria,vesca,f.,helleri,,,Fragaria vesca helleri,Fragaria vesca f. helleri,Fragaria vesca f. helleri,,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),Harlan and de Wet CWR Database (2012),Native,Native,,,,Khoury et al. (2012) Crop prioritization method,CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria vesca subsp. americana,Rosaceae,Fragaria,vesca,subsp.,americana,,,Fragaria vesca americana,Fragaria vesca subsp. americana,Fragaria vesca subsp. americana,,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),GRIN CWR Database (2010); Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria vesca subsp. bracteata,Rosaceae,Fragaria,vesca,subsp.,bracteata,,,Fragaria vesca bracteata,Fragaria vesca subsp. bracteata,Fragaria vesca subsp. bracteata,,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),GRIN CWR Database (2010); Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria vesca subsp. californica,Rosaceae,Fragaria,vesca,subsp.,californica,,,Fragaria vesca californica,Fragaria vesca subsp. californica,Fragaria vesca subsp. californica,,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),GRIN CWR Database (2010); Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria virginiana,Rosaceae,Fragaria,virginiana,,,,,Fragaria virginiana,Fragaria virginiana,Fragaria virginiana,,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,,Close,GP(1B),Wiersema (1999); Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria virginiana subsp. glauca,Rosaceae,Fragaria,virginiana,subsp.,glauca,,,Fragaria virginiana glauca,Fragaria virginiana subsp. glauca,Fragaria virginiana subsp. glauca,,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,,Close,GP(1B),Wiersema (1999); Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria virginiana subsp. grayana,Rosaceae,Fragaria,virginiana,subsp.,grayana,,,Fragaria virginiana grayana,Fragaria virginiana subsp. grayana,Fragaria virginiana subsp. grayana,,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,,Close,GP(1B),Wiersema (1999); Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria virginiana subsp. platypetala,Rosaceae,Fragaria,virginiana,subsp.,platypetala,,,Fragaria virginiana platypetala,Fragaria virginiana subsp. platypetala,Fragaria virginiana subsp. platypetala,,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,,Close,GP(1B),Wiersema (1999); Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria virginiana subsp. virginiana,Rosaceae,Fragaria,virginiana,subsp.,virginiana,,,Fragaria virginiana virginiana,Fragaria virginiana subsp. virginiana,Fragaria virginiana subsp. virginiana,,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,,Close,GP(1B),Wiersema (1999); Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria x ananassa,Rosaceae,Fragaria,x ananassa,,,,,Fragaria x ananassa,Fragaria x ananassa,Fragaria x ananassa,Strawberry,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,,,,,Y,Y,Hummer 2019 says primary,Close,GP(1A),Harlan and de Wet CWR Database (2012),Native,Native,"US: CA, CT, DE, ID, IL, MA, ME, MO, NC, NH, NJ, NY, OR, PA, RI, SC, VA, VT, WA, WVCA: BC, NS, PE",,,Khoury et al. (2012) Crop prioritization method,CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria x ananassa nothosubsp. cuneifolia,Rosaceae,Fragaria,x ananassa,nothosubsp.,cuneifolia,,,Fragaria x ananassa cuneifolia,Fragaria x ananassa nothosubsp. cuneifolia,Fragaria x ananassa nothosubsp. cuneifolia,,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,,Close,GP(1A),Harlan and de Wet CWR Database (2012),Native,Native,,,,Khoury et al. (2012) Crop prioritization method,CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Fragaria x bringhurstii,Rosaceae,Fragaria,x bringhurstii,,,,,Fragaria x bringhurstii,Fragaria x bringhurstii,Fragaria x bringhurstii,,CWR,Priority (1)B,Priority,Category (1),Category (1)A,Y,,,,,,Y,Y,Hummer 2019 says secondary,Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,,,,Khoury et al. (2012) Crop prioritization method,CWR,Fragaria x ananassa,Strawberry,Food and agriculture,Food,Fruits,,
Gossypium hirsutum,Malvaceae,Gossypium,hirsutum,,,,,Gossypium hirsutum,Gossypium hirsutum,Gossypium hirsutum,Upland Cotton,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,Y,,Y,Y,Y,Puerto Rico,Close,GP(1B),GRIN CWR Database (2012); (Wiersema 1999),Native,Native,,,Native,"Wiersema and León (1999), Frelichowski pers comm 2011",CWR,Gossypium hirsutum,Cotton (upland),Material and industrial,Material and industrial,Fibers,medicinal,forage
Gossypium thurberi,Malvaceae,Gossypium,thurberi,,,,,Gossypium thurberi,Gossypium thurberi,Gossypium thurberi,,CWR,Priority (1)A,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Close,GP(2),GRIN CWR Database (2010); Harlan and de Wet CWR Database (2012),Native,Native,,,,"Wiersema and León (1999), Frelichowski pers comm 2011",CWR,Gossypium hirsutum,Cotton (upland),Material and industrial,Material and industrial,Fibers,,
Gossypium tomentosum,Malvaceae,Gossypium,tomentosum,,,,,Gossypium tomentosum,Gossypium tomentosum,Gossypium tomentosum,,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,Y,,Y,Y,Y,,Close,GP(1B),Wiersema (1999); Harlan and de Wet CWR Database (2012),Native,Native,,,,"Wiersema and León (1999), Frelichowski pers comm 2011",CWR,Gossypium hirsutum,Cotton (upland),Material and industrial,Material and industrial,Fibers,,
Helianthus agrestis,Asteraceae,Helianthus,agrestis,,,,,Helianthus agrestis,Helianthus agrestis,Helianthus agrestis,"rural, southeastern sunflower",CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,,,,Y,Y,Include all Helianthus in at least 1b as much interfertility,Assume distant,,"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus angustifolius,Asteraceae,Helianthus,angustifolius,,,,,Helianthus angustifolius,Helianthus angustifolius,Helianthus angustifolius,"swamp, narrow-leaf sunflower",CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus annuus,Asteraceae,Helianthus,annuus,,,,,Helianthus annuus,Helianthus annuus,Helianthus annuus,"annual, common Sunflower",CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,Y,,,,Y,Y,Y,,Close,GP(1A),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,Noxious_weed_State,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,medicinal,ornamental
Helianthus anomalus,Asteraceae,Helianthus,anomalus,,,,,Helianthus anomalus,Helianthus anomalus,Helianthus anomalus,"western , anomalous sunflower",CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Close,GP(2),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus argophyllus,Asteraceae,Helianthus,argophyllus,,,,,Helianthus argophyllus,Helianthus argophyllus,Helianthus argophyllus,silverleaf sunflower,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Close,GP(2),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus arizonensis,Asteraceae,Helianthus,arizonensis,,,,,Helianthus arizonensis,Helianthus arizonensis,Helianthus arizonensis,Arizona sunflower,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus atrorubens,Asteraceae,Helianthus,atrorubens,,,,,Helianthus atrorubens,Helianthus atrorubens,Helianthus atrorubens,"purpledisk, darkred sunflower",CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus bolanderi,Asteraceae,Helianthus,bolanderi,,,,,Helianthus bolanderi,Helianthus bolanderi,Helianthus bolanderi,"Bolander's, serpentine Sunflower",CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Close,GP(2),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus californicus,Asteraceae,Helianthus,californicus,,,,,Helianthus californicus,Helianthus californicus,Helianthus californicus,California sunflower,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus carnosus,Asteraceae,Helianthus,carnosus,,,,,Helianthus carnosus,Helianthus carnosus,Helianthus carnosus,"lakeside, fleshy sunflower",CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Assume distant,,"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus ciliaris,Asteraceae,Helianthus,ciliaris,,,,,Helianthus ciliaris,Helianthus ciliaris,Helianthus ciliaris,"Texas blueweed , blueweed sunflower",CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native; naturalized,,Noxious_weed_State,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus cusickii,Asteraceae,Helianthus,cusickii,,,,,Helianthus cusickii,Helianthus cusickii,Helianthus cusickii,"parsnip-root, Cusick's sunflower",CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus debilis,Asteraceae,Helianthus,debilis,,,,,Helianthus debilis,Helianthus debilis,Helianthus debilis,beach sunflower,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Close,GP(2),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native; naturalized,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus debilis subsp. cucumerifolius,Asteraceae,Helianthus,debilis,subsp.,cucumerifolius,,,Helianthus debilis cucumerifolius,Helianthus debilis subsp. cucumerifolius,Helianthus debilis subsp. cucumerifolius,cucumberleaf sunflower,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Close,GP(2),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native; naturalized,,,,FNA (2006),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus debilis subsp. debilis,Asteraceae,Helianthus,debilis,subsp.,debilis,,,Helianthus debilis debilis,Helianthus debilis subsp. debilis,Helianthus debilis subsp. debilis,beach sunflower,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Close,GP(2),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,FNA (2006),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus debilis subsp. silvestris,Asteraceae,Helianthus,debilis,subsp.,silvestris,,,Helianthus debilis silvestris,Helianthus debilis subsp. silvestris,Helianthus debilis subsp. silvestris,forest sunflower,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Close,GP(2),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,FNA (2006),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus debilis subsp. tardiflorus,Asteraceae,Helianthus,debilis,subsp.,tardiflorus,,,Helianthus debilis tardiflorus,Helianthus debilis subsp. tardiflorus,Helianthus debilis subsp. tardiflorus,,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Close,GP(2),Harlan and de Wet CWR Database (2012),Native,Native,,,,Khoury et al. (2012) Crop prioritization method,CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus debilis subsp. vestitus,Asteraceae,Helianthus,debilis,subsp.,vestitus,,,Helianthus debilis vestitus,Helianthus debilis subsp. vestitus,Helianthus debilis subsp. vestitus,clothed sunflower,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Close,GP(2),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,FNA (2006),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus decapetalus,Asteraceae,Helianthus,decapetalus,,,,,Helianthus decapetalus,Helianthus decapetalus,Helianthus decapetalus,"ten-petal, thinleaf sunflower",CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus deserticola,Asteraceae,Helianthus,deserticola,,,,,Helianthus deserticola,Helianthus deserticola,Helianthus deserticola,desert sunflower,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,Y,,,Y,Y,Y,,Close,GP(2),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus divaricatus,Asteraceae,Helianthus,divaricatus,,,,,Helianthus divaricatus,Helianthus divaricatus,Helianthus divaricatus,woodland sunflower,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus eggertii,Asteraceae,Helianthus,eggertii,,,,,Helianthus eggertii,Helianthus eggertii,Helianthus eggertii,Eggert;'s sunflower,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus exilis,Asteraceae,Helianthus,exilis,,,,,Helianthus exilis,Helianthus exilis,Helianthus exilis,serpentine sunflower,CWR,Priority (1)B,Priority,Category (1),Category (1)A,Y,,,,,,Y,Y,Secondary per Kantar et al. 2015,Assume distant,,"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus floridanus,Asteraceae,Helianthus,floridanus,,,,,Helianthus floridanus,Helianthus floridanus,Helianthus floridanus,Florida sunflower,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus giganteus,Asteraceae,Helianthus,giganteus,,,,,Helianthus giganteus,Helianthus giganteus,Helianthus giganteus,"giant, tall sunflower",CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus glaucophyllus,Asteraceae,Helianthus,glaucophyllus,,,,,Helianthus glaucophyllus,Helianthus glaucophyllus,Helianthus glaucophyllus,whiteleaf sunflower,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus gracilentus,Asteraceae,Helianthus,gracilentus,,,,,Helianthus gracilentus,Helianthus gracilentus,Helianthus gracilentus,slender sunflower,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus grosseserratus,Asteraceae,Helianthus,grosseserratus,,,,,Helianthus grosseserratus,Helianthus grosseserratus,Helianthus grosseserratus,sawtooth sunflower,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native; naturalized,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus heterophyllus,Asteraceae,Helianthus,heterophyllus,,,,,Helianthus heterophyllus,Helianthus heterophyllus,Helianthus heterophyllus,"wetland, variableleaf sunflower",CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,,,,Y,Y,Include all Helianthus in at least 1b as much interfertility,Assume distant,,"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus hirsutus,Asteraceae,Helianthus,hirsutus,,,,,Helianthus hirsutus,Helianthus hirsutus,Helianthus hirsutus,hairy sunflower,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus laciniatus,Asteraceae,Helianthus,laciniatus,,,,,Helianthus laciniatus,Helianthus laciniatus,Helianthus laciniatus,alkali sunflower,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus laevigatus,Asteraceae,Helianthus,laevigatus,,,,,Helianthus laevigatus,Helianthus laevigatus,Helianthus laevigatus,smooth sunflower,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus longifolius,Asteraceae,Helianthus,longifolius,,,,,Helianthus longifolius,Helianthus longifolius,Helianthus longifolius,longleaf sunflower,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
Helianthus maximiliani,Asteraceae,Helianthus,maximiliani,,,,,Helianthus maximiliani,Helianthus maximilianii,Helianthus maximiliani,Maximilian sunflower,CWR,Priority (1)B,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Distant,GP(3),"Harlan and de Wet CWR Database (2012); Gerald Seiler, Laura Marek, personal communication (2010)",Native,Native; naturalized,,,,Wiersema and León (1999),CWR,Helianthus annuus,Sunflower,Food and agriculture,Food,Oils,,
