Taxon,Family,Genus,species,rank 1,infraspecific 1,rank 2,infraspecific 2,Taxon 2019 final without ranks,Taxon_Khouryetal (2013),Taxon_GRIN Global_2019,CWR_WUS_common_name,Type,Priority 2013,Category 2019 very general,Category 2019 general,Category 2019,Category 2019 confirmed,GRIN Global CWR Primary,GRIN Global CWR Secondary,GRIN Global CWR Tertiary,GRIN Global CWR Graftstock,In GRIN Global  CWR 2019,For ex situ gap analysis,For in situ gap analysis,Note on relation 2019,Relation_to_crop_2013,GP_TG_2013,GP_TG_citation_2013,Occurrence general,Occurrence specific,Distribution_states,Nox_weed,Occurrence_notes,CWR_WUS_citation,Type,Associated_crop_taxon,Associated_crop_common name,Crop or WUS use_very general,Crop or WUS use_general,Crop or WUS use_1,Crop or WUS use_2,Crop or WUS use_3
Allium bisceptrum,Amaryllidaceae,Allium,bisceptrum,,,,,Allium bisceptrum,Allium bisceptrum,Allium bisceptrum,Patis Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: AZ, CA, ID, NM, NN, NV, OR, UT, WA",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium brandegeei,Amaryllidaceae,Allium,brandegeei,,,,,Allium brandegeei,Allium brandegeei,Allium brandegeei,Brandegee's Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,GRIN CWR Database (2012); Harlan and de Wet CWR Database (2012),Native,Native,"US: CO, ID, MT, NV, OR, UT, WY",,,NSNDB 2010,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,restoration,
Allium brevistylum,Amaryllidaceae,Allium,brevistylum,,,,,Allium brevistylum,Allium brevistylum,Allium brevistylum,Short-stem Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: CO, ID, MT, UT, WY",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium burdickii,Amaryllidaceae,Allium,burdickii,,,,,Allium burdickii,Allium burdickii,Allium burdickii,Narrowleaf Wild Leek,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: IA, IL, IN, KY, ME, MI, MN, MO, NC, ND, NH, NJ, NY, OH, PA, SD, TN, VA, VT, WI, WVCA: NS, ON, QC",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium campanulatum,Amaryllidaceae,Allium,campanulatum,,,,,Allium campanulatum,Allium campanulatum,Allium campanulatum,Sierra Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: CA, NV, OR, UT, WA",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium canadense,Amaryllidaceae,Allium,canadense,,,,,Allium canadense,Allium canadense,Allium canadense,Meadow Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WVCA: NB, ON, QC",Noxious_weed_State,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium canadense var. canadense,Amaryllidaceae,Allium,canadense,var.,canadense,,,Allium canadense canadense,Allium canadense var. canadense,Allium canadense var. canadense,Meadow Garlic,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: AL, AR, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WVCA: NB, ON, QC",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium cernuum,Amaryllidaceae,Allium,cernuum,,,,,Allium cernuum,Allium cernuum,Allium cernuum,,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,ornamental,food additive
Allium crenulatum,Amaryllidaceae,Allium,crenulatum,,,,,Allium crenulatum,Allium crenulatum,Allium crenulatum,Olympic Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: OR, WACA: BC",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium douglasii,Amaryllidaceae,Allium,douglasii,,,,,Allium douglasii,Allium douglasii,Allium douglasii,Douglas' onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,,,,NSNDB 2010,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,restoration,
